District,City,year,pm25,pm10,so2,o3,no2,co
강원도,철원,2019,21.75,39.08,0.0,0.04,0.01,0.48
강원도,철원,2020,20.42,32.75,0.0,0.03,0.01,0.43
강원도,철원,2021,16.08,34.75,0.0,0.04,0.01,0.43
강원도,철원,2022,14.82,28.73,0.0,0.03,0.01,0.33
강원도,춘천,2015,26.33,53.42,0.0,0.03,0.02,0.61
강원도,춘천,2016,27.0,48.92,0.0,0.03,0.02,0.57
강원도,춘천,2017,24.5,45.5,0.0,0.03,0.02,0.53
강원도,춘천,2018,21.5,40.08,0.0,0.03,0.02,0.49
강원도,춘천,2019,21.58,43.08,0.0,0.03,0.02,0.51
강원도,춘천,2020,19.92,33.5,0.0,0.03,0.01,0.48
강원도,춘천,2021,17.0,33.92,0.0,0.03,0.01,0.47
강원도,춘천,2022,15.18,27.82,0.0,0.03,0.01,0.39
강원도,태백,2015,26.47,48.3,0.0,0.03,0.02,0.57
강원도,태백,2016,26.68,45.8,0.0,0.03,0.02,0.54
강원도,태백,2017,24.42,42.53,0.0,0.03,0.02,0.47
강원도,태백,2018,21.31,36.3,0.0,0.03,0.01,0.44
강원도,태백,2019,20.73,35.36,0.0,0.04,0.01,0.36
강원도,태백,2020,17.92,27.17,0.0,0.04,0.01,0.42
강원도,태백,2021,11.25,24.75,0.0,0.04,0.01,0.35
강원도,태백,2022,11.0,22.36,0.0,0.04,0.01,0.36
강원도,평창,2015,26.47,48.3,0.0,0.03,0.02,0.57
강원도,평창,2016,26.68,45.8,0.0,0.03,0.02,0.54
강원도,평창,2017,24.42,42.53,0.0,0.03,0.02,0.47
강원도,평창,2018,22.67,35.33,0.0,0.03,0.01,0.45
강원도,평창,2019,24.08,41.83,0.0,0.03,0.01,0.38
강원도,평창,2020,16.58,35.0,0.0,0.03,0.01,0.32
강원도,평창,2021,13.25,45.0,0.0,0.03,0.01,0.38
강원도,평창,2022,13.18,24.18,0.0,0.03,0.01,0.34
강원도,홍천,2015,26.47,48.3,0.0,0.03,0.02,0.57
강원도,홍천,2016,26.68,45.8,0.0,0.03,0.02,0.54
강원도,홍천,2017,24.42,42.53,0.0,0.03,0.02,0.47
강원도,홍천,2018,21.31,36.3,0.0,0.03,0.01,0.44
강원도,홍천,2019,22.36,36.18,0.0,0.03,0.01,0.44
강원도,홍천,2020,21.0,36.5,0.0,0.02,0.01,0.47
강원도,홍천,2021,16.58,35.64,0.0,0.03,0.01,0.42
강원도,홍천,2022,16.82,28.18,0.0,0.03,0.01,0.29
