District,City,year,pm25,pm10,so2,o3,no2,co,AVG
경기도,동두천,2020,19.0,34.25,0.0,0.03,0.01,0.41,81.91
경기도,부천,2015,32.09,50.75,0.01,0.02,0.03,0.54,81.83
경기도,부천,2016,26.08,58.0,0.01,0.02,0.03,0.49,82.99
경기도,부천,2017,23.25,48.92,0.01,0.03,0.03,0.48,83.41
경기도,부천,2018,27.33,48.67,0.0,0.02,0.03,0.5,83.52
경기도,부천,2019,31.58,55.0,0.0,0.02,0.03,0.53,83.75
경기도,부천,2020,25.17,45.17,0.0,0.03,0.03,0.48,83.95
경기도,성남,2015,20.42,50.67,0.0,0.02,0.04,0.6,83.7
경기도,성남,2016,23.83,46.17,0.0,0.02,0.04,0.6,83.35
경기도,성남,2017,26.08,45.25,0.0,0.03,0.03,0.57,83.6
경기도,성남,2018,24.0,42.33,0.0,0.02,0.03,0.52,83.89
경기도,성남,2019,23.08,42.75,0.0,0.02,0.03,0.57,84.29
경기도,성남,2020,19.75,37.0,0.0,0.02,0.02,0.54,84.61
경기도,수원,2015,25.0,48.33,0.0,0.02,0.03,0.62,82.51
경기도,수원,2016,25.92,52.5,0.0,0.02,0.03,0.63,83.03
경기도,수원,2017,25.75,47.83,0.0,0.03,0.03,0.59,83.4
경기도,수원,2018,23.67,41.0,0.0,0.02,0.03,0.58,83.76
경기도,수원,2019,25.25,43.17,0.0,0.02,0.03,0.6,84.04
경기도,수원,2020,20.58,38.17,0.0,0.03,0.02,0.54,84.27
경기도,시흥,2015,28.06,54.58,0.01,0.02,0.03,0.62,81.71
경기도,시흥,2016,28.54,52.42,0.01,0.03,0.03,0.62,82.17
경기도,시흥,2017,26.7,52.08,0.01,0.03,0.03,0.58,82.46
경기도,시흥,2018,28.42,48.83,0.0,0.02,0.03,0.56,82.78
경기도,시흥,2019,30.42,53.5,0.0,0.03,0.03,0.54,83.35
경기도,시흥,2020,23.5,41.17,0.0,0.03,0.02,0.49,83.64
경기도,안산,2015,25.67,51.92,0.0,0.03,0.03,0.52,82.09
경기도,안산,2016,28.67,51.92,0.0,0.02,0.03,0.49,82.47
경기도,안산,2017,26.67,47.92,0.0,0.03,0.03,0.48,82.66
경기도,안산,2018,24.0,41.67,0.0,0.02,0.03,0.47,82.88
경기도,안산,2019,23.58,44.5,0.0,0.03,0.03,0.51,83.15
경기도,안산,2020,18.75,37.17,0.0,0.03,0.02,0.43,83.54
경기도,안성,2015,28.06,50.09,0.0,0.02,0.01,0.41,81.84
경기도,안성,2016,41.0,50.5,0.0,0.02,0.01,0.38,82.2
경기도,안성,2017,26.17,55.42,0.0,0.03,0.02,0.38,82.36
경기도,안성,2018,29.5,48.58,0.0,0.03,0.02,0.39,82.76
경기도,안성,2019,28.0,47.08,0.0,0.03,0.02,0.51,83.09
경기도,안성,2020,24.08,40.08,0.0,0.03,0.02,0.42,83.29
경기도,안양,2015,28.06,48.17,0.0,0.02,0.03,0.51,83.82
경기도,안양,2016,26.67,50.42,0.0,0.02,0.03,0.5,83.98
경기도,안양,2017,23.75,49.33,0.0,0.03,0.03,0.52,84.18
경기도,안양,2018,26.83,46.92,0.0,0.02,0.03,0.51,84.54
경기도,안양,2019,24.5,47.83,0.0,0.02,0.03,0.53,84.86
경기도,안양,2020,21.92,40.58,0.0,0.03,0.02,0.53,85.05
경기도,양주,2015,28.06,54.27,0.0,0.03,0.02,0.49,81.41
경기도,양주,2016,28.54,52.5,0.0,0.03,0.02,0.49,81.79
경기도,양주,2017,29.2,52.92,0.0,0.03,0.02,0.48,82.29
경기도,양주,2018,26.5,46.42,0.0,0.03,0.01,0.39,82.67
경기도,양주,2019,26.08,44.42,0.0,0.03,0.02,0.42,83.02
경기도,양주,2020,20.0,35.25,0.0,0.03,0.02,0.41,83.23
경기도,양평,2015,23.5,47.0,0.0,0.03,0.02,0.48,82.08
경기도,양평,2016,23.75,46.58,0.0,0.03,0.02,0.52,82.48
경기도,양평,2017,26.33,45.67,0.0,0.03,0.02,0.46,82.66
경기도,양평,2018,23.08,39.5,0.0,0.03,0.02,0.44,82.85
경기도,양평,2019,23.17,41.5,0.0,0.03,0.01,0.48,83.01
경기도,양평,2020,20.33,36.33,0.0,0.03,0.01,0.47,83.28
경기도,여주,2015,28.06,57.36,0.0,0.02,0.02,0.47,82.05
경기도,여주,2016,35.5,53.58,0.0,0.03,0.02,0.52,81.61
경기도,여주,2017,28.42,56.83,0.0,0.03,0.02,0.48,81.69
경기도,여주,2018,24.67,43.92,0.0,0.02,0.02,0.51,81.33
경기도,여주,2019,31.27,45.42,0.0,0.03,0.02,0.52,82.37
경기도,여주,2020,24.75,39.0,0.0,0.03,0.01,0.47,82.67
경기도,연천,2015,28.06,48.82,0.0,0.03,0.01,0.42,80.13
경기도,연천,2016,32.0,46.75,0.0,0.03,0.01,0.4,80.43
경기도,연천,2017,25.75,45.5,0.0,0.03,0.01,0.45,80.92
경기도,연천,2018,17.83,30.5,0.0,0.03,0.01,0.43,81.46
경기도,연천,2019,18.83,35.92,0.0,0.03,0.01,0.45,81.74
경기도,연천,2020,15.5,30.08,0.0,0.03,0.01,0.44,81.94
경기도,오산,2015,28.06,53.0,0.0,0.02,0.03,0.54,82.03
경기도,오산,2016,28.54,53.42,0.0,0.02,0.03,0.48,82.39
경기도,오산,2017,28.8,49.0,0.0,0.03,0.03,0.48,82.75
경기도,오산,2018,27.75,46.58,0.0,0.02,0.03,0.46,82.94
경기도,오산,2019,26.5,45.25,0.0,0.03,0.03,0.48,83.25
경기도,오산,2020,19.42,34.83,0.0,0.03,0.02,0.41,83.51
경기도,용인,2015,28.06,54.33,0.0,0.02,0.03,0.62,84.12
경기도,용인,2016,25.8,49.33,0.0,0.02,0.03,0.56,84.52
경기도,용인,2017,28.33,50.75,0.0,0.02,0.03,0.58,84.89
경기도,용인,2018,24.83,42.67,0.0,0.02,0.03,0.52,85.17
경기도,용인,2019,26.25,44.17,0.0,0.02,0.03,0.54,85.51
경기도,용인,2020,22.08,38.58,0.0,0.03,0.02,0.48,85.82
경기도,의왕,2015,27.0,50.67,0.0,0.02,0.04,0.67,83.98
경기도,의왕,2016,26.25,49.67,0.0,0.02,0.04,0.68,84.26
경기도,의왕,2017,25.58,49.42,0.0,0.02,0.03,0.62,84.56
경기도,의왕,2018,25.08,43.5,0.0,0.02,0.03,0.58,84.93
경기도,의왕,2019,26.75,44.0,0.0,0.02,0.03,0.61,85.05
경기도,의왕,2020,22.08,36.5,0.0,0.03,0.02,0.46,85.41
경기도,의정부,2015,46.0,55.08,0.0,0.03,0.03,0.52,82.34
경기도,의정부,2016,34.33,49.25,0.0,0.02,0.02,0.51,82.73
경기도,의정부,2017,25.92,54.08,0.0,0.03,0.02,0.46,82.99
경기도,의정부,2018,23.42,45.83,0.0,0.03,0.02,0.46,83.18
경기도,의정부,2019,23.5,43.0,0.0,0.03,0.02,0.57,83.48
경기도,의정부,2020,20.0,36.42,0.0,0.03,0.02,0.53,83.73
경기도,이천,2015,28.06,57.82,0.0,0.03,0.02,0.45,82.02
경기도,이천,2016,28.54,57.25,0.0,0.02,0.02,0.48,82.47
경기도,이천,2017,27.3,54.17,0.0,0.03,0.02,0.43,82.81
경기도,이천,2018,27.42,46.17,0.0,0.02,0.02,0.42,83.03
경기도,이천,2019,28.0,45.92,0.0,0.03,0.02,0.51,83.42
경기도,이천,2020,23.92,38.83,0.0,0.03,0.02,0.46,83.78
경기도,파주,2015,28.06,57.5,0.0,0.03,0.02,0.62,82.13
경기도,파주,2016,30.54,57.75,0.0,0.03,0.02,0.6,82.42
경기도,파주,2017,29.17,52.25,0.0,0.03,0.02,0.57,82.9
경기도,파주,2018,25.58,44.42,0.0,0.02,0.02,0.55,83.19
경기도,파주,2019,28.08,48.5,0.0,0.03,0.02,0.55,83.53
경기도,파주,2020,22.58,38.92,0.0,0.03,0.02,0.48,83.77
경기도,평택,2015,28.06,61.75,0.01,0.03,0.02,0.47,82.01
경기도,평택,2016,28.54,63.08,0.01,0.03,0.02,0.45,82.28
경기도,평택,2017,32.5,61.92,0.01,0.03,0.02,0.49,82.7
경기도,평택,2018,30.08,54.58,0.0,0.03,0.02,0.46,82.97
경기도,평택,2019,29.25,53.33,0.0,0.03,0.02,0.4,83.23
경기도,평택,2020,22.25,41.75,0.0,0.03,0.02,0.42,83.56
경기도,포천,2015,28.06,62.91,0.0,0.04,0.03,0.52,80.53
경기도,포천,2016,25.33,55.08,0.0,0.03,0.02,0.5,80.91
경기도,포천,2017,29.08,48.17,0.0,0.03,0.02,0.48,81.17
경기도,포천,2018,25.08,40.58,0.0,0.03,0.01,0.43,81.58
경기도,포천,2019,24.58,46.33,0.0,0.03,0.02,0.47,81.96
경기도,포천,2020,19.67,40.25,0.0,0.03,0.01,0.44,82.05
경기도,하남,2015,23.0,48.75,0.0,0.02,0.03,0.52,82.44
경기도,하남,2016,21.67,52.25,0.0,0.02,0.04,0.52,83.01
경기도,하남,2017,25.75,51.17,0.0,0.02,0.04,0.48,83.6
경기도,하남,2018,21.75,48.42,0.0,0.02,0.03,0.46,84.19
경기도,하남,2019,20.5,44.5,0.0,0.02,0.03,0.49,84.68
경기도,하남,2020,16.08,34.08,0.0,0.02,0.02,0.44,85.1
경기도,화성,2015,28.06,55.17,0.0,0.03,0.02,0.48,82.76
경기도,화성,2016,28.54,56.17,0.0,0.03,0.02,0.4,83.14
경기도,화성,2017,24.1,56.33,0.0,0.03,0.02,0.41,83.6
경기도,화성,2018,26.58,46.42,0.0,0.03,0.02,0.43,83.96
경기도,화성,2019,28.58,47.67,0.0,0.03,0.02,0.47,84.27
경기도,화성,2020,22.5,39.17,0.0,0.03,0.02,0.45,84.57
경상남도,거제,2015,25.08,43.17,0.01,0.04,0.02,0.45,81.23
경상남도,거제,2016,24.17,43.0,0.0,0.03,0.02,0.47,81.81
경상남도,거제,2017,22.5,40.67,0.0,0.04,0.01,0.48,82.02
경상남도,거제,2018,20.18,38.18,0.0,0.04,0.02,0.48,82.49
경상남도,거제,2019,18.58,35.08,0.0,0.04,0.02,0.49,82.78
경상남도,거제,2020,16.33,30.58,0.0,0.03,0.01,0.43,83.22
경상남도,거창,2015,24.95,45.06,0.0,0.03,0.02,0.45,81.2
경상남도,거창,2016,23.98,43.62,0.0,0.03,0.02,0.43,81.88
경상남도,거창,2017,22.19,42.36,0.0,0.03,0.02,0.46,82.49
경상남도,거창,2018,19.39,39.42,0.0,0.03,0.02,0.41,82.68
경상남도,거창,2019,19.0,40.18,0.0,0.03,0.01,0.44,83.24
경상남도,거창,2020,18.92,29.92,0.0,0.03,0.01,0.39,83.22
경상남도,고성,2015,24.95,45.06,0.0,0.03,0.02,0.45,80.26
경상남도,고성,2016,23.98,43.62,0.0,0.03,0.02,0.43,80.75
경상남도,고성,2017,22.19,42.36,0.0,0.03,0.02,0.46,80.81
경상남도,고성,2018,19.39,39.42,0.0,0.03,0.02,0.41,81.12
경상남도,고성,2019,15.33,38.75,0.0,0.04,0.01,0.42,81.44
경상남도,고성,2020,12.92,26.08,0.0,0.04,0.01,0.4,81.94
경상남도,김해,2015,19.0,41.83,0.0,0.03,0.02,0.42,81.04
경상남도,김해,2016,22.42,38.17,0.0,0.03,0.02,0.42,81.48
경상남도,김해,2017,19.75,36.17,0.0,0.03,0.02,0.39,82.01
경상남도,김해,2018,20.08,39.0,0.0,0.03,0.02,0.4,82.34
경상남도,김해,2019,20.58,39.17,0.0,0.03,0.02,0.36,82.6
경상남도,김해,2020,16.83,30.08,0.0,0.03,0.02,0.38,83.02
경상남도,남해,2015,24.95,45.06,0.0,0.03,0.02,0.45,80.79
경상남도,남해,2016,23.98,43.62,0.0,0.03,0.02,0.43,81.4
경상남도,남해,2017,22.19,42.36,0.0,0.03,0.02,0.46,81.71
경상남도,남해,2018,19.39,39.42,0.0,0.03,0.02,0.41,82.25
경상남도,남해,2019,18.83,36.42,0.0,0.04,0.01,0.43,82.22
경상남도,남해,2020,14.83,27.2,0.0,0.04,0.01,0.46,82.56
경상남도,밀양,2015,24.95,45.06,0.0,0.03,0.02,0.45,80.41
경상남도,밀양,2016,23.98,43.62,0.0,0.03,0.02,0.43,80.71
경상남도,밀양,2017,22.19,46.5,0.0,0.02,0.02,0.5,81.19
경상남도,밀양,2018,20.25,38.92,0.0,0.03,0.02,0.25,81.35
경상남도,밀양,2019,17.67,37.58,0.0,0.03,0.02,0.28,81.53
경상남도,밀양,2020,18.08,33.5,0.0,0.03,0.01,0.28,81.92
경상남도,사천,2015,20.25,38.17,0.01,0.03,0.02,0.51,80.82
경상남도,사천,2016,19.83,39.08,0.0,0.03,0.01,0.37,81.77
경상남도,사천,2017,17.75,36.33,0.0,0.03,0.02,0.45,82.18
경상남도,사천,2018,16.25,34.5,0.0,0.03,0.01,0.46,82.48
경상남도,사천,2019,16.83,32.67,0.0,0.03,0.01,0.42,82.67
경상남도,사천,2020,14.25,28.25,0.0,0.03,0.01,0.4,82.86
경상남도,산청,2015,24.95,45.06,0.0,0.03,0.02,0.45,81.6
경상남도,산청,2016,23.98,43.62,0.0,0.03,0.02,0.43,81.6
경상남도,산청,2017,22.19,42.36,0.0,0.03,0.02,0.46,82.06
경상남도,산청,2018,19.39,39.42,0.0,0.03,0.02,0.41,82.36
경상남도,산청,2019,17.0,26.0,0.0,0.02,0.01,0.45,82.63
경상남도,산청,2020,15.17,23.92,0.0,0.04,0.01,0.35,83.08
경상남도,양산,2015,27.33,47.92,0.0,0.03,0.02,0.42,81.34
경상남도,양산,2016,26.33,46.17,0.0,0.02,0.02,0.4,81.86
경상남도,양산,2017,25.42,45.25,0.0,0.03,0.02,0.45,82.29
경상남도,양산,2018,22.0,44.75,0.0,0.03,0.02,0.51,82.61
경상남도,양산,2019,20.42,40.83,0.0,0.03,0.02,0.47,82.93
경상남도,양산,2020,18.08,33.5,0.0,0.03,0.02,0.44,83.2
경상남도,의령,2015,24.95,45.06,0.0,0.03,0.02,0.45,80.64
경상남도,의령,2016,23.98,43.62,0.0,0.03,0.02,0.43,80.68
경상남도,의령,2017,22.19,42.36,0.0,0.03,0.02,0.46,80.96
경상남도,의령,2018,19.39,39.42,0.0,0.03,0.02,0.41,81.36
경상남도,의령,2019,18.5,27.5,0.0,0.02,0.01,0.45,81.96
경상남도,의령,2020,15.08,24.33,0.0,0.04,0.01,0.35,82.43
경상남도,진주,2015,27.25,50.58,0.0,0.03,0.02,0.53,82.15
경상남도,진주,2016,25.92,47.92,0.0,0.03,0.02,0.52,82.36
경상남도,진주,2017,21.92,43.92,0.0,0.03,0.02,0.52,82.65
경상남도,진주,2018,18.33,40.92,0.0,0.03,0.01,0.48,83.0
경상남도,진주,2019,17.33,38.67,0.0,0.03,0.01,0.5,83.28
경상남도,진주,2020,15.0,30.58,0.0,0.03,0.01,0.44,83.5
경상남도,창녕,2015,24.95,45.06,0.0,0.03,0.02,0.45,79.91
