Unnamed: 0,District,City,year,pm25,pm10,so2,o3,no2,co,AVG
77,강원도,강릉,2016,30.0,44.0,0.002,0.039,0.014,0.3,82.56
78,강원도,강릉,2016,23.0,33.0,0.002,0.026,0.011,0.3,82.56
79,강원도,강릉,2016,17.0,33.0,0.002,0.026,0.007,0.3,82.56
80,강원도,강릉,2016,25.0,38.0,0.002,0.024,0.009,0.4,82.56
81,강원도,강릉,2016,29.0,53.0,0.004,0.023,0.017,0.7,82.56
82,강원도,강릉,2016,26.0,40.0,0.005,0.022,0.015,0.6,82.56
83,강원도,강릉,2016,25.683,44.0,0.003,0.023,0.014,0.5,82.56
84,강원도,강릉,2017,30.0,48.0,0.005,0.011,0.011,0.6,82.94
85,강원도,강릉,2017,29.0,52.0,0.004,0.031,0.013,0.5,82.94
86,강원도,강릉,2017,37.0,62.0,0.004,0.015,0.015,0.4,82.94
87,강원도,강릉,2017,27.0,55.0,0.003,0.048,0.008,0.3,82.94
88,강원도,강릉,2017,29.0,61.0,0.003,0.052,0.014,0.3,82.94
89,강원도,강릉,2017,24.0,38.0,0.001,0.042,0.012,0.3,82.94
90,강원도,강릉,2017,21.0,33.0,0.001,0.033,0.011,0.2,82.94
91,강원도,강릉,2017,15.0,29.0,0.002,0.022,0.013,0.3,82.94
92,강원도,강릉,2017,21.0,41.0,0.003,0.034,0.012,0.5,82.94
93,강원도,강릉,2017,21.0,37.0,0.003,0.029,0.012,0.6,82.94
94,강원도,강릉,2017,25.0,29.0,0.004,0.025,0.012,0.6,82.94
95,강원도,강릉,2017,23.357,39.0,0.003,0.026,0.011,0.5,82.94
96,강원도,강릉,2018,27.0,33.0,0.005,0.027,0.02,0.5,83.16
97,강원도,강릉,2018,23.0,37.0,0.005,0.03,0.011,0.5,83.16
98,강원도,강릉,2018,25.0,37.0,0.005,0.038,0.015,0.4,83.16
99,강원도,강릉,2018,24.0,49.0,0.002,0.044,0.015,0.3,83.16
100,강원도,강릉,2018,21.0,47.0,0.002,0.046,0.013,0.3,83.16
101,강원도,강릉,2018,18.0,37.0,0.002,0.048,0.013,0.3,83.16
102,강원도,강릉,2018,17.0,32.0,0.002,0.033,0.011,0.2,83.16
103,강원도,강릉,2018,13.0,31.0,0.002,0.025,0.01,0.3,83.16
104,강원도,강릉,2018,17.0,24.0,0.003,0.027,0.012,0.3,83.16
105,강원도,강릉,2018,19.0,46.0,0.003,0.028,0.018,0.3,83.16
106,강원도,강릉,2018,16.0,30.0,0.004,0.024,0.017,0.3,83.16
107,강원도,강릉,2018,11.011,17.0,0.003,0.033,0.006,0.2,83.16
108,강원도,강릉,2019,23.0,41.0,0.005,0.029,0.017,0.3,83.44
109,강원도,강릉,2019,25.0,42.0,0.004,0.034,0.016,0.4,83.44
110,강원도,강릉,2019,32.0,51.0,0.003,0.046,0.014,0.3,83.44
111,강원도,강릉,2019,16.0,36.0,0.002,0.042,0.013,0.3,83.44
112,강원도,강릉,2019,21.0,47.0,0.002,0.059,0.012,0.3,83.44
113,강원도,강릉,2019,16.0,32.0,0.002,0.045,0.01,0.3,83.44
114,강원도,강릉,2019,14.0,29.0,0.001,0.038,0.008,0.3,83.44
115,강원도,강릉,2019,12.0,28.0,0.001,0.034,0.009,0.4,83.44
116,강원도,강릉,2019,10.0,25.0,0.001,0.028,0.009,0.2,83.44
118,강원도,강릉,2019,17.0,30.0,0.002,0.028,0.015,0.4,83.44
119,강원도,강릉,2019,16.543,29.0,0.001,0.026,0.009,0.2,83.44
120,강원도,강릉,2020,14.0,25.0,0.002,0.028,0.014,0.5,83.82
121,강원도,강릉,2020,19.0,32.0,0.003,0.033,0.014,0.6,83.82
122,강원도,강릉,2020,16.0,36.0,0.002,0.039,0.011,0.4,83.82
123,강원도,강릉,2020,15.0,38.0,0.002,0.047,0.011,0.3,83.82
124,강원도,강릉,2020,12.0,32.0,0.003,0.042,0.011,0.5,83.82
125,강원도,강릉,2020,18.0,42.0,0.003,0.047,0.01,0.4,83.82
126,강원도,강릉,2020,8.0,14.0,0.002,0.029,0.01,0.5,83.82
127,강원도,강릉,2020,11.0,17.0,0.002,0.026,0.011,0.5,83.82
128,강원도,강릉,2020,11.0,27.0,0.003,0.035,0.009,0.5,83.82
129,강원도,강릉,2020,19.0,32.0,0.003,0.033,0.013,0.4,83.82
130,강원도,강릉,2020,17.455,30.0,0.003,0.033,0.014,0.4,83.82
131,강원도,강릉,2020,18.293,31.0,0.002,0.037,0.01,0.5,83.82
132,강원도,동해,2010,28.795,47.0,0.009,0.026,0.02,0.7,79.21
133,강원도,동해,2010,28.632,50.0,0.008,0.028,0.024,0.6,79.21
134,강원도,동해,2010,39.319,74.0,0.005,0.033,0.021,0.7,79.21
135,강원도,동해,2010,30.848,56.0,0.005,0.038,0.024,0.8,79.21
136,강원도,동해,2010,29.029,56.0,0.004,0.043,0.021,0.6,79.21
