Unnamed: 0,District,City,year,pm25,pm10,so2,o3,no2,co,AVG
3155,경기도,성남,2019,15.0,30.0,0.003,0.029,0.02,0.6,86.87
3156,경기도,성남,2019,11.0,24.0,0.002,0.021,0.02,0.5,83.22
3157,경기도,성남,2019,11.0,24.0,0.002,0.021,0.02,0.5,82.77
3158,경기도,성남,2019,11.0,24.0,0.002,0.021,0.02,0.5,86.87
3159,경기도,성남,2019,20.0,42.0,0.003,0.011,0.035,0.6,83.22
3160,경기도,성남,2019,20.0,42.0,0.003,0.011,0.035,0.6,82.77
3161,경기도,성남,2019,20.0,42.0,0.003,0.011,0.035,0.6,86.87
3162,경기도,성남,2019,29.0,43.0,0.003,0.01,0.036,0.7,83.22
3163,경기도,성남,2019,29.0,43.0,0.003,0.01,0.036,0.7,82.77
3164,경기도,성남,2019,29.0,43.0,0.003,0.01,0.036,0.7,86.87
3165,경기도,성남,2019,19.855,33.0,0.002,0.018,0.025,0.5,83.22
3166,경기도,성남,2019,19.855,33.0,0.002,0.018,0.025,0.5,82.77
3167,경기도,성남,2019,19.855,33.0,0.002,0.018,0.025,0.5,86.87
3168,경기도,성남,2020,28.0,44.0,0.003,0.013,0.035,0.8,83.55
3169,경기도,성남,2020,28.0,44.0,0.003,0.013,0.035,0.8,83.18
3170,경기도,성남,2020,28.0,44.0,0.003,0.013,0.035,0.8,87.09
3171,경기도,성남,2020,28.0,43.0,0.003,0.017,0.032,0.6,83.55
3172,경기도,성남,2020,28.0,43.0,0.003,0.017,0.032,0.6,83.18
3173,경기도,성남,2020,28.0,43.0,0.003,0.017,0.032,0.6,87.09
3174,경기도,성남,2020,25.0,47.0,0.002,0.027,0.029,0.5,83.55
3175,경기도,성남,2020,25.0,47.0,0.002,0.027,0.029,0.5,83.18
3176,경기도,성남,2020,25.0,47.0,0.002,0.027,0.029,0.5,87.09
3177,경기도,성남,2020,20.0,46.0,0.002,0.038,0.022,0.5,83.55
3178,경기도,성남,2020,20.0,46.0,0.002,0.038,0.022,0.5,83.18
3179,경기도,성남,2020,20.0,46.0,0.002,0.038,0.022,0.5,87.09
3180,경기도,성남,2020,17.0,36.0,0.002,0.035,0.021,0.5,83.55
3181,경기도,성남,2020,17.0,36.0,0.002,0.035,0.021,0.5,83.18
3182,경기도,성남,2020,17.0,36.0,0.002,0.035,0.021,0.5,87.09
3183,경기도,성남,2020,20.0,42.0,0.002,0.047,0.021,0.5,83.55
3184,경기도,성남,2020,20.0,42.0,0.002,0.047,0.021,0.5,83.18
3185,경기도,성남,2020,20.0,42.0,0.002,0.047,0.021,0.5,87.09
3186,경기도,성남,2020,12.0,23.0,0.002,0.03,0.016,0.5,83.55
3187,경기도,성남,2020,12.0,23.0,0.002,0.03,0.016,0.5,83.18
3188,경기도,성남,2020,12.0,23.0,0.002,0.03,0.016,0.5,87.09
3189,경기도,성남,2020,13.0,25.0,0.002,0.02,0.013,0.4,83.55
3190,경기도,성남,2020,13.0,25.0,0.002,0.02,0.013,0.4,83.18
3191,경기도,성남,2020,13.0,25.0,0.002,0.02,0.013,0.4,87.09
3192,경기도,성남,2020,10.0,21.0,0.002,0.027,0.016,0.5,83.55
3193,경기도,성남,2020,10.0,21.0,0.002,0.027,0.016,0.5,83.18
3194,경기도,성남,2020,10.0,21.0,0.002,0.027,0.016,0.5,87.09
3195,경기도,성남,2020,22.0,41.0,0.003,0.014,0.033,0.6,83.55
3196,경기도,성남,2020,22.0,41.0,0.003,0.014,0.033,0.6,83.18
3197,경기도,성남,2020,22.0,41.0,0.003,0.014,0.033,0.6,87.09
3198,경기도,성남,2020,26.0,41.0,0.003,0.014,0.033,0.6,83.55
3199,경기도,성남,2020,26.0,41.0,0.003,0.014,0.033,0.6,83.18
3200,경기도,성남,2020,26.0,41.0,0.003,0.014,0.033,0.6,87.09
3201,경기도,성남,2020,20.46,35.0,0.003,0.02,0.028,0.5,83.55
3202,경기도,성남,2020,20.46,35.0,0.003,0.02,0.028,0.5,83.18
3203,경기도,성남,2020,20.46,35.0,0.003,0.02,0.028,0.5,87.09
3204,경기도,수원,2010,34.448,59.0,0.008,0.009,0.048,0.9,81.54
3205,경기도,수원,2010,34.448,59.0,0.008,0.009,0.048,0.9,80.62
3206,경기도,수원,2010,34.448,59.0,0.008,0.009,0.048,0.9,80.79
3207,경기도,수원,2010,34.448,59.0,0.008,0.009,0.048,0.9,82.14
3208,경기도,수원,2010,28.538,48.0,0.006,0.014,0.04,0.8,81.54
3209,경기도,수원,2010,28.538,48.0,0.006,0.014,0.04,0.8,80.62
3210,경기도,수원,2010,28.538,48.0,0.006,0.014,0.04,0.8,80.79
3211,경기도,수원,2010,28.538,48.0,0.006,0.014,0.04,0.8,82.14
3212,경기도,수원,2010,33.312,62.0,0.005,0.021,0.033,0.6,81.54
3213,경기도,수원,2010,33.312,62.0,0.005,0.021,0.033,0.6,80.62
3214,경기도,수원,2010,33.312,62.0,0.005,0.021,0.033,0.6,80.79
3215,경기도,수원,2010,33.312,62.0,0.005,0.021,0.033,0.6,82.14
3216,경기도,수원,2010,28.191,52.0,0.006,0.025,0.036,0.6,81.54
3217,경기도,수원,2010,28.191,52.0,0.006,0.025,0.036,0.6,80.62
3218,경기도,수원,2010,28.191,52.0,0.006,0.025,0.036,0.6,80.79
3219,경기도,수원,2010,28.191,52.0,0.006,0.025,0.036,0.6,82.14
3220,경기도,수원,2010,32.728,63.0,0.006,0.032,0.033,0.6,81.54
3221,경기도,수원,2010,32.728,63.0,0.006,0.032,0.033,0.6,80.62
3222,경기도,수원,2010,32.728,63.0,0.006,0.032,0.033,0.6,80.79
3223,경기도,수원,2010,32.728,63.0,0.006,0.032,0.033,0.6,82.14
3224,경기도,수원,2010,28.304,55.0,0.005,0.033,0.037,0.6,81.54
3225,경기도,수원,2010,28.304,55.0,0.005,0.033,0.037,0.6,80.62
3226,경기도,수원,2010,28.304,55.0,0.005,0.033,0.037,0.6,80.79
3227,경기도,수원,2010,28.304,55.0,0.005,0.033,0.037,0.6,82.14
3228,경기도,수원,2010,19.579,32.0,0.004,0.024,0.021,0.5,81.54
3229,경기도,수원,2010,19.579,32.0,0.004,0.024,0.021,0.5,80.62
3230,경기도,수원,2010,19.579,32.0,0.004,0.024,0.021,0.5,80.79
3231,경기도,수원,2010,19.579,32.0,0.004,0.024,0.021,0.5,82.14
3232,경기도,수원,2010,20.631,33.0,0.003,0.019,0.025,0.6,81.54
3233,경기도,수원,2010,20.631,33.0,0.003,0.019,0.025,0.6,80.62
3234,경기도,수원,2010,20.631,33.0,0.003,0.019,0.025,0.6,80.79
3235,경기도,수원,2010,20.631,33.0,0.003,0.019,0.025,0.6,82.14
3236,경기도,수원,2010,18.164,29.0,0.003,0.017,0.027,0.5,81.54
3237,경기도,수원,2010,18.164,29.0,0.003,0.017,0.027,0.5,80.62
3238,경기도,수원,2010,18.164,29.0,0.003,0.017,0.027,0.5,80.79
3239,경기도,수원,2010,18.164,29.0,0.003,0.017,0.027,0.5,82.14
3240,경기도,수원,2010,25.823,45.0,0.004,0.015,0.041,0.7,81.54
3241,경기도,수원,2010,25.823,45.0,0.004,0.015,0.041,0.7,80.62
3242,경기도,수원,2010,25.823,45.0,0.004,0.015,0.041,0.7,80.79
3243,경기도,수원,2010,25.823,45.0,0.004,0.015,0.041,0.7,82.14
3244,경기도,수원,2010,41.964,78.0,0.006,0.014,0.043,0.8,81.54
3245,경기도,수원,2010,41.964,78.0,0.006,0.014,0.043,0.8,80.62
3246,경기도,수원,2010,41.964,78.0,0.006,0.014,0.043,0.8,80.79
3247,경기도,수원,2010,41.964,78.0,0.006,0.014,0.043,0.8,82.14
3248,경기도,수원,2010,37.927,66.0,0.007,0.01,0.042,0.9,81.54
3249,경기도,수원,2010,37.927,66.0,0.007,0.01,0.042,0.9,80.62
3250,경기도,수원,2010,37.927,66.0,0.007,0.01,0.042,0.9,80.79
3251,경기도,수원,2010,37.927,66.0,0.007,0.01,0.042,0.9,82.14
3252,경기도,수원,2011,29.49,48.0,0.008,0.011,0.045,0.9,81.93
3253,경기도,수원,2011,29.49,48.0,0.008,0.011,0.045,0.9,81.0
3254,경기도,수원,2011,29.49,48.0,0.008,0.011,0.045,0.9,81.0
3255,경기도,수원,2011,29.49,48.0,0.008,0.011,0.045,0.9,82.52
3256,경기도,수원,2011,44.964,81.0,0.008,0.013,0.052,1.1,81.93
3257,경기도,수원,2011,44.964,81.0,0.008,0.013,0.052,1.1,81.0
3258,경기도,수원,2011,44.964,81.0,0.008,0.013,0.052,1.1,81.0
3259,경기도,수원,2011,44.964,81.0,0.008,0.013,0.052,1.1,82.52
3260,경기도,수원,2011,37.189,71.0,0.006,0.026,0.032,0.6,81.93
3261,경기도,수원,2011,37.189,71.0,0.006,0.026,0.032,0.6,81.0
3262,경기도,수원,2011,37.189,71.0,0.006,0.026,0.032,0.6,81.0
3263,경기도,수원,2011,37.189,71.0,0.006,0.026,0.032,0.6,82.52
3264,경기도,수원,2011,32.075,62.0,0.005,0.029,0.036,0.6,81.93
3265,경기도,수원,2011,32.075,62.0,0.005,0.029,0.036,0.6,81.0
3266,경기도,수원,2011,32.075,62.0,0.005,0.029,0.036,0.6,81.0
3267,경기도,수원,2011,32.075,62.0,0.005,0.029,0.036,0.6,82.52
3268,경기도,수원,2011,38.473,76.0,0.005,0.03,0.035,0.6,81.93
3269,경기도,수원,2011,38.473,76.0,0.005,0.03,0.035,0.6,81.0
3270,경기도,수원,2011,38.473,76.0,0.005,0.03,0.035,0.6,81.0
3271,경기도,수원,2011,38.473,76.0,0.005,0.03,0.035,0.6,82.52
3272,경기도,수원,2011,26.404,50.0,0.005,0.035,0.031,0.6,81.93
3273,경기도,수원,2011,26.404,50.0,0.005,0.035,0.031,0.6,81.0
3274,경기도,수원,2011,26.404,50.0,0.005,0.035,0.031,0.6,81.0
3275,경기도,수원,2011,26.404,50.0,0.005,0.035,0.031,0.6,82.52
3276,경기도,수원,2011,20.52,34.0,0.003,0.02,0.023,0.5,81.93
3277,경기도,수원,2011,20.52,34.0,0.003,0.02,0.023,0.5,81.0
3278,경기도,수원,2011,20.52,34.0,0.003,0.02,0.023,0.5,81.0
3279,경기도,수원,2011,20.52,34.0,0.003,0.02,0.023,0.5,82.52
3280,경기도,수원,2011,19.855,33.0,0.003,0.02,0.025,0.5,81.93
3281,경기도,수원,2011,19.855,33.0,0.003,0.02,0.025,0.5,81.0
3282,경기도,수원,2011,19.855,33.0,0.003,0.02,0.025,0.5,81.0
3283,경기도,수원,2011,19.855,33.0,0.003,0.02,0.025,0.5,82.52
3284,경기도,수원,2011,20.376,36.0,0.003,0.022,0.031,0.5,81.93
3285,경기도,수원,2011,20.376,36.0,0.003,0.022,0.031,0.5,81.0
3286,경기도,수원,2011,20.376,36.0,0.003,0.022,0.031,0.5,81.0
3287,경기도,수원,2011,20.376,36.0,0.003,0.022,0.031,0.5,82.52
3288,경기도,수원,2011,27.386,50.0,0.005,0.014,0.045,0.6,81.93
3289,경기도,수원,2011,27.386,50.0,0.005,0.014,0.045,0.6,81.0
3290,경기도,수원,2011,27.386,50.0,0.005,0.014,0.045,0.6,81.0
3291,경기도,수원,2011,27.386,50.0,0.005,0.014,0.045,0.6,82.52
3292,경기도,수원,2011,25.284,44.0,0.005,0.012,0.041,0.6,81.93
3293,경기도,수원,2011,25.284,44.0,0.005,0.012,0.041,0.6,81.0
3294,경기도,수원,2011,25.284,44.0,0.005,0.012,0.041,0.6,81.0
3295,경기도,수원,2011,25.284,44.0,0.005,0.012,0.041,0.6,82.52
3296,경기도,수원,2011,29.055,49.0,0.008,0.01,0.042,0.7,81.93
3297,경기도,수원,2011,29.055,49.0,0.008,0.01,0.042,0.7,81.0
3298,경기도,수원,2011,29.055,49.0,0.008,0.01,0.042,0.7,81.0
3299,경기도,수원,2011,29.055,49.0,0.008,0.01,0.042,0.7,82.52
3300,경기도,수원,2012,35.777,61.0,0.009,0.011,0.044,0.9,82.0
3301,경기도,수원,2012,35.777,61.0,0.009,0.011,0.044,0.9,80.96
3302,경기도,수원,2012,35.777,61.0,0.009,0.011,0.044,0.9,81.28
3303,경기도,수원,2012,35.777,61.0,0.009,0.011,0.044,0.9,83.07
3304,경기도,수원,2012,30.852,53.0,0.007,0.014,0.042,0.8,82.0
3305,경기도,수원,2012,30.852,53.0,0.007,0.014,0.042,0.8,80.96
3306,경기도,수원,2012,30.852,53.0,0.007,0.014,0.042,0.8,81.28
3307,경기도,수원,2012,30.852,53.0,0.007,0.014,0.042,0.8,83.07
3308,경기도,수원,2012,29.095,54.0,0.005,0.024,0.035,0.6,82.0
3309,경기도,수원,2012,29.095,54.0,0.005,0.024,0.035,0.6,80.96
3310,경기도,수원,2012,29.095,54.0,0.005,0.024,0.035,0.6,81.28
3311,경기도,수원,2012,29.095,54.0,0.005,0.024,0.035,0.6,83.07
3312,경기도,수원,2012,28.607,54.0,0.005,0.03,0.033,0.6,82.0
3313,경기도,수원,2012,28.607,54.0,0.005,0.03,0.033,0.6,80.96
3314,경기도,수원,2012,28.607,54.0,0.005,0.03,0.033,0.6,81.28
3315,경기도,수원,2012,28.607,54.0,0.005,0.03,0.033,0.6,83.07
3316,경기도,수원,2012,30.019,59.0,0.006,0.036,0.037,0.6,82.0
3317,경기도,수원,2012,30.019,59.0,0.006,0.036,0.037,0.6,80.96
3318,경기도,수원,2012,30.019,59.0,0.006,0.036,0.037,0.6,81.28
3319,경기도,수원,2012,30.019,59.0,0.006,0.036,0.037,0.6,83.07
3320,경기도,수원,2012,22.618,43.0,0.005,0.037,0.028,0.5,82.0
3321,경기도,수원,2012,22.618,43.0,0.005,0.037,0.028,0.5,80.96
3322,경기도,수원,2012,22.618,43.0,0.005,0.037,0.028,0.5,81.28
3323,경기도,수원,2012,22.618,43.0,0.005,0.037,0.028,0.5,83.07
3324,경기도,수원,2012,19.134,31.0,0.004,0.023,0.022,0.5,82.0
3325,경기도,수원,2012,19.134,31.0,0.004,0.023,0.022,0.5,80.96
3326,경기도,수원,2012,19.134,31.0,0.004,0.023,0.022,0.5,81.28
3327,경기도,수원,2012,19.134,31.0,0.004,0.023,0.022,0.5,83.07
3328,경기도,수원,2012,15.911,25.0,0.003,0.026,0.021,0.5,82.0
3329,경기도,수원,2012,15.911,25.0,0.003,0.026,0.021,0.5,80.96
3330,경기도,수원,2012,15.911,25.0,0.003,0.026,0.021,0.5,81.28
3331,경기도,수원,2012,15.911,25.0,0.003,0.026,0.021,0.5,83.07
3332,경기도,수원,2012,19.369,34.0,0.003,0.021,0.033,0.5,82.0
3333,경기도,수원,2012,19.369,34.0,0.003,0.021,0.033,0.5,80.96
3334,경기도,수원,2012,19.369,34.0,0.003,0.021,0.033,0.5,81.28
3335,경기도,수원,2012,19.369,34.0,0.003,0.021,0.033,0.5,83.07
3336,경기도,수원,2012,22.726,39.0,0.005,0.017,0.038,0.6,82.0
3337,경기도,수원,2012,22.726,39.0,0.005,0.017,0.038,0.6,80.96
3338,경기도,수원,2012,22.726,39.0,0.005,0.017,0.038,0.6,81.28
3339,경기도,수원,2012,22.726,39.0,0.005,0.017,0.038,0.6,83.07
3340,경기도,수원,2012,29.129,50.0,0.006,0.012,0.039,0.7,82.0
3341,경기도,수원,2012,29.129,50.0,0.006,0.012,0.039,0.7,80.96
3342,경기도,수원,2012,29.129,50.0,0.006,0.012,0.039,0.7,81.28
3343,경기도,수원,2012,29.129,50.0,0.006,0.012,0.039,0.7,83.07
3344,경기도,수원,2012,28.476,47.0,0.007,0.009,0.044,0.8,82.0
3345,경기도,수원,2012,28.476,47.0,0.007,0.009,0.044,0.8,80.96
3346,경기도,수원,2012,28.476,47.0,0.007,0.009,0.044,0.8,81.28
3347,경기도,수원,2012,28.476,47.0,0.007,0.009,0.044,0.8,83.07
3348,경기도,수원,2013,39.595,69.0,0.009,0.01,0.05,1.0,82.13
3349,경기도,수원,2013,39.595,69.0,0.009,0.01,0.05,1.0,81.37
3350,경기도,수원,2013,39.595,69.0,0.009,0.01,0.05,1.0,81.36
3351,경기도,수원,2013,39.595,69.0,0.009,0.01,0.05,1.0,83.12
3352,경기도,수원,2013,29.471,51.0,0.007,0.015,0.039,0.7,82.13
3353,경기도,수원,2013,29.471,51.0,0.007,0.015,0.039,0.7,81.37
3354,경기도,수원,2013,29.471,51.0,0.007,0.015,0.039,0.7,81.36
3355,경기도,수원,2013,29.471,51.0,0.007,0.015,0.039,0.7,83.12
3356,경기도,수원,2013,33.368,63.0,0.006,0.022,0.038,0.6,82.13
3357,경기도,수원,2013,33.368,63.0,0.006,0.022,0.038,0.6,81.37
3358,경기도,수원,2013,33.368,63.0,0.006,0.022,0.038,0.6,81.36
3359,경기도,수원,2013,33.368,63.0,0.006,0.022,0.038,0.6,83.12
3360,경기도,수원,2013,30.446,59.0,0.005,0.033,0.034,0.6,82.13
3361,경기도,수원,2013,30.446,59.0,0.005,0.033,0.034,0.6,81.37
3362,경기도,수원,2013,30.446,59.0,0.005,0.033,0.034,0.6,81.36
3363,경기도,수원,2013,30.446,59.0,0.005,0.033,0.034,0.6,83.12
3364,경기도,수원,2013,31.245,61.0,0.006,0.036,0.034,0.6,82.13
3365,경기도,수원,2013,31.245,61.0,0.006,0.036,0.034,0.6,81.37
3366,경기도,수원,2013,31.245,61.0,0.006,0.036,0.034,0.6,81.36
3367,경기도,수원,2013,31.245,61.0,0.006,0.036,0.034,0.6,83.12
3368,경기도,수원,2013,25.054,47.0,0.006,0.035,0.033,0.6,82.13
3369,경기도,수원,2013,25.054,47.0,0.006,0.035,0.033,0.6,81.37
3370,경기도,수원,2013,25.054,47.0,0.006,0.035,0.033,0.6,81.36
3371,경기도,수원,2013,25.054,47.0,0.006,0.035,0.033,0.6,83.12
3372,경기도,수원,2013,21.832,37.0,0.004,0.027,0.018,0.5,82.13
3373,경기도,수원,2013,21.832,37.0,0.004,0.027,0.018,0.5,81.37
3374,경기도,수원,2013,21.832,37.0,0.004,0.027,0.018,0.5,81.36
3375,경기도,수원,2013,21.832,37.0,0.004,0.027,0.018,0.5,83.12
3376,경기도,수원,2013,22.688,40.0,0.004,0.027,0.023,0.5,82.13
3377,경기도,수원,2013,22.688,40.0,0.004,0.027,0.023,0.5,81.37
3378,경기도,수원,2013,22.688,40.0,0.004,0.027,0.023,0.5,81.36
3379,경기도,수원,2013,22.688,40.0,0.004,0.027,0.023,0.5,83.12
3380,경기도,수원,2013,19.692,34.0,0.004,0.022,0.031,0.5,82.13
3381,경기도,수원,2013,19.692,34.0,0.004,0.022,0.031,0.5,81.37
3382,경기도,수원,2013,19.692,34.0,0.004,0.022,0.031,0.5,81.36
3383,경기도,수원,2013,19.692,34.0,0.004,0.022,0.031,0.5,83.12
3384,경기도,수원,2013,20.314,35.0,0.004,0.017,0.035,0.5,82.13
3385,경기도,수원,2013,20.314,35.0,0.004,0.017,0.035,0.5,81.37
3386,경기도,수원,2013,20.314,35.0,0.004,0.017,0.035,0.5,81.36
3387,경기도,수원,2013,20.314,35.0,0.004,0.017,0.035,0.5,83.12
3388,경기도,수원,2013,28.891,49.0,0.006,0.011,0.038,0.7,82.13
3389,경기도,수원,2013,28.891,49.0,0.006,0.011,0.038,0.7,81.37
3390,경기도,수원,2013,28.891,49.0,0.006,0.011,0.038,0.7,81.36
3391,경기도,수원,2013,28.891,49.0,0.006,0.011,0.038,0.7,83.12
3392,경기도,수원,2013,34.862,59.0,0.008,0.009,0.044,0.9,82.13
3393,경기도,수원,2013,34.862,59.0,0.008,0.009,0.044,0.9,81.37
3394,경기도,수원,2013,34.862,59.0,0.008,0.009,0.044,0.9,81.36
3395,경기도,수원,2013,34.862,59.0,0.008,0.009,0.044,0.9,83.12
3396,경기도,수원,2014,37.518,65.0,0.008,0.008,0.046,0.9,82.43
3397,경기도,수원,2014,37.518,65.0,0.008,0.008,0.046,0.9,81.72
3398,경기도,수원,2014,37.518,65.0,0.008,0.008,0.046,0.9,81.63
3399,경기도,수원,2014,37.518,65.0,0.008,0.008,0.046,0.9,83.3
3400,경기도,수원,2014,35.339,63.0,0.007,0.013,0.044,0.8,82.43
3401,경기도,수원,2014,35.339,63.0,0.007,0.013,0.044,0.8,81.72
3402,경기도,수원,2014,35.339,63.0,0.007,0.013,0.044,0.8,81.63
3403,경기도,수원,2014,35.339,63.0,0.007,0.013,0.044,0.8,83.3
3404,경기도,수원,2014,33.776,62.0,0.007,0.024,0.036,0.7,82.43
3405,경기도,수원,2014,33.776,62.0,0.007,0.024,0.036,0.7,81.72
3406,경기도,수원,2014,33.776,62.0,0.007,0.024,0.036,0.7,81.63
3407,경기도,수원,2014,33.776,62.0,0.007,0.024,0.036,0.7,83.3
3408,경기도,수원,2014,33.23,63.0,0.006,0.028,0.039,0.7,82.43
3409,경기도,수원,2014,33.23,63.0,0.006,0.028,0.039,0.7,81.72
3410,경기도,수원,2014,33.23,63.0,0.006,0.028,0.039,0.7,81.63
3411,경기도,수원,2014,33.23,63.0,0.006,0.028,0.039,0.7,83.3
3412,경기도,수원,2014,34.389,68.0,0.006,0.041,0.029,0.6,82.43
3413,경기도,수원,2014,34.389,68.0,0.006,0.041,0.029,0.6,81.72
3414,경기도,수원,2014,34.389,68.0,0.006,0.041,0.029,0.6,81.63
3415,경기도,수원,2014,34.389,68.0,0.006,0.041,0.029,0.6,83.3
3416,경기도,수원,2014,23.27,44.0,0.005,0.038,0.025,0.5,82.43
3417,경기도,수원,2014,23.27,44.0,0.005,0.038,0.025,0.5,81.72
3418,경기도,수원,2014,23.27,44.0,0.005,0.038,0.025,0.5,81.63
3419,경기도,수원,2014,23.27,44.0,0.005,0.038,0.025,0.5,83.3
3420,경기도,수원,2014,23.111,41.0,0.005,0.035,0.023,0.6,82.43
3421,경기도,수원,2014,23.111,41.0,0.005,0.035,0.023,0.6,81.72
3422,경기도,수원,2014,23.111,41.0,0.005,0.035,0.023,0.6,81.63
3423,경기도,수원,2014,23.111,41.0,0.005,0.035,0.023,0.6,83.3
3424,경기도,수원,2014,19.239,31.0,0.004,0.026,0.024,0.6,82.43
3425,경기도,수원,2014,19.239,31.0,0.004,0.026,0.024,0.6,81.72
3426,경기도,수원,2014,19.239,31.0,0.004,0.026,0.024,0.6,81.63
3427,경기도,수원,2014,19.239,31.0,0.004,0.026,0.024,0.6,83.3
3428,경기도,수원,2014,19.32,32.0,0.004,0.023,0.031,0.6,82.43
3429,경기도,수원,2014,19.32,32.0,0.004,0.023,0.031,0.6,81.72
3430,경기도,수원,2014,19.32,32.0,0.004,0.023,0.031,0.6,81.63
3431,경기도,수원,2014,19.32,32.0,0.004,0.023,0.031,0.6,83.3
3432,경기도,수원,2014,21.683,37.0,0.004,0.017,0.037,0.6,82.43
3433,경기도,수원,2014,21.683,37.0,0.004,0.017,0.037,0.6,81.72
3434,경기도,수원,2014,21.683,37.0,0.004,0.017,0.037,0.6,81.63
3435,경기도,수원,2014,21.683,37.0,0.004,0.017,0.037,0.6,83.3
3436,경기도,수원,2014,28.368,48.0,0.006,0.011,0.045,0.8,82.43
3437,경기도,수원,2014,28.368,48.0,0.006,0.011,0.045,0.8,81.72
3438,경기도,수원,2014,28.368,48.0,0.006,0.011,0.045,0.8,81.63
3439,경기도,수원,2014,28.368,48.0,0.006,0.011,0.045,0.8,83.3
3440,경기도,수원,2014,28.189,46.0,0.006,0.01,0.039,0.8,82.43
3441,경기도,수원,2014,28.189,46.0,0.006,0.01,0.039,0.8,81.72
3442,경기도,수원,2014,28.189,46.0,0.006,0.01,0.039,0.8,81.63
3443,경기도,수원,2014,28.189,46.0,0.006,0.01,0.039,0.8,83.3
3444,경기도,수원,2015,29.0,53.0,0.007,0.01,0.042,0.8,82.73
3445,경기도,수원,2015,29.0,53.0,0.007,0.01,0.042,0.8,82.23
3446,경기도,수원,2015,29.0,53.0,0.007,0.01,0.042,0.8,81.82
3447,경기도,수원,2015,29.0,53.0,0.007,0.01,0.042,0.8,83.79
3448,경기도,수원,2015,34.0,79.0,0.007,0.016,0.037,0.8,82.73
3449,경기도,수원,2015,34.0,79.0,0.007,0.016,0.037,0.8,82.23
3450,경기도,수원,2015,34.0,79.0,0.007,0.016,0.037,0.8,81.82
3451,경기도,수원,2015,34.0,79.0,0.007,0.016,0.037,0.8,83.79
3452,경기도,수원,2015,33.0,70.0,0.007,0.022,0.042,0.7,82.73
3453,경기도,수원,2015,33.0,70.0,0.007,0.022,0.042,0.7,82.23
3454,경기도,수원,2015,33.0,70.0,0.007,0.022,0.042,0.7,81.82
3455,경기도,수원,2015,33.0,70.0,0.007,0.022,0.042,0.7,83.79
3456,경기도,수원,2015,23.0,45.0,0.005,0.028,0.034,0.6,82.73
3457,경기도,수원,2015,23.0,45.0,0.005,0.028,0.034,0.6,82.23
3458,경기도,수원,2015,23.0,45.0,0.005,0.028,0.034,0.6,81.82
3459,경기도,수원,2015,23.0,45.0,0.005,0.028,0.034,0.6,83.79
3460,경기도,수원,2015,24.0,47.0,0.006,0.036,0.031,0.5,82.73
3461,경기도,수원,2015,24.0,47.0,0.006,0.036,0.031,0.5,82.23
3462,경기도,수원,2015,24.0,47.0,0.006,0.036,0.031,0.5,81.82
3463,경기도,수원,2015,24.0,47.0,0.006,0.036,0.031,0.5,83.79
3464,경기도,수원,2015,22.0,37.0,0.005,0.041,0.026,0.5,82.73
3465,경기도,수원,2015,22.0,37.0,0.005,0.041,0.026,0.5,82.23
3466,경기도,수원,2015,22.0,37.0,0.005,0.041,0.026,0.5,81.82
3467,경기도,수원,2015,22.0,37.0,0.005,0.041,0.026,0.5,83.79
3468,경기도,수원,2015,19.0,29.0,0.004,0.03,0.021,0.5,82.73
3469,경기도,수원,2015,19.0,29.0,0.004,0.03,0.021,0.5,82.23
3470,경기도,수원,2015,19.0,29.0,0.004,0.03,0.021,0.5,81.82
3471,경기도,수원,2015,19.0,29.0,0.004,0.03,0.021,0.5,83.79
3472,경기도,수원,2015,22.0,37.0,0.004,0.031,0.025,0.5,82.73
3473,경기도,수원,2015,22.0,37.0,0.004,0.031,0.025,0.5,82.23
3474,경기도,수원,2015,22.0,37.0,0.004,0.031,0.025,0.5,81.82
3475,경기도,수원,2015,22.0,37.0,0.004,0.031,0.025,0.5,83.79
3476,경기도,수원,2015,17.0,32.0,0.004,0.028,0.029,0.5,82.73
3477,경기도,수원,2015,17.0,32.0,0.004,0.028,0.029,0.5,82.23
3478,경기도,수원,2015,17.0,32.0,0.004,0.028,0.029,0.5,81.82
3479,경기도,수원,2015,17.0,32.0,0.004,0.028,0.029,0.5,83.79
3480,경기도,수원,2015,23.0,41.0,0.004,0.011,0.038,0.7,82.73
3481,경기도,수원,2015,23.0,41.0,0.004,0.011,0.038,0.7,82.23
3482,경기도,수원,2015,23.0,41.0,0.004,0.011,0.038,0.7,81.82
3483,경기도,수원,2015,23.0,41.0,0.004,0.011,0.038,0.7,83.79
3484,경기도,수원,2015,28.0,54.0,0.006,0.008,0.044,0.8,82.73
3485,경기도,수원,2015,28.0,54.0,0.006,0.008,0.044,0.8,82.23
3486,경기도,수원,2015,28.0,54.0,0.006,0.008,0.044,0.8,81.82
3487,경기도,수원,2015,28.0,54.0,0.006,0.008,0.044,0.8,83.79
3488,경기도,수원,2015,30.279,56.0,0.004,0.017,0.038,0.6,82.73
3489,경기도,수원,2015,30.279,56.0,0.004,0.017,0.038,0.6,82.23
3490,경기도,수원,2015,30.279,56.0,0.004,0.017,0.038,0.6,81.82
3491,경기도,수원,2015,30.279,56.0,0.004,0.017,0.038,0.6,83.79
3492,경기도,수원,2016,27.0,52.0,0.006,0.011,0.039,0.8,83.19
3493,경기도,수원,2016,27.0,52.0,0.006,0.011,0.039,0.8,82.62
3494,경기도,수원,2016,27.0,52.0,0.006,0.011,0.039,0.8,82.19
