District,City,year,pm25,pm10,so2,o3,no2,co,Percentage
강원도,평창,2018,22.667,35.333,0.001,0.029,0.01,0.45,4.67
강원도,평창,2019,24.083,41.833,0.002,0.029,0.01,0.375,2.36
강원도,평창,2020,16.583,35.0,0.002,0.03,0.01,0.317,2.39
강원도,홍천,2019,22.364,36.182,0.003,0.027,0.014,0.445,7.19
강원도,홍천,2020,21.0,36.5,0.003,0.025,0.014,0.467,0.0
강원도,화천,2019,17.364,32.182,0.001,0.028,0.006,0.491,4.0
강원도,화천,2020,16.0,26.417,0.002,0.028,0.007,0.45,4.02
강원도,횡성,2018,24.0,43.0,0.002,0.014,0.018,0.6,2.15
강원도,횡성,2019,25.5,42.417,0.002,0.025,0.012,0.517,0.0
강원도,횡성,2020,19.917,32.667,0.002,0.023,0.011,0.417,2.15
경기도,가평,2017,20.917,45.167,0.004,0.028,0.013,0.433,0.0
경기도,가평,2018,21.0,32.583,0.003,0.028,0.011,0.417,4.77
경기도,가평,2019,19.167,32.25,0.003,0.029,0.011,0.467,0.0
경기도,가평,2020,17.5,31.25,0.003,0.026,0.011,0.433,0.0
경기도,고양,2017,27.9,53.7,0.005,0.028,0.022,0.43,0.37
경기도,고양,2018,25.0,43.583,0.004,0.025,0.021,0.442,1.57
경기도,고양,2019,24.917,44.5,0.004,0.029,0.02,0.458,1.33
경기도,고양,2020,20.083,39.75,0.003,0.03,0.018,0.45,0.36
경기도,과천,2016,23.0,44.667,0.004,0.012,0.033,0.7,1.51
경기도,과천,2017,24.167,45.75,0.004,0.025,0.028,0.583,0.0
경기도,과천,2018,23.333,41.083,0.003,0.021,0.027,0.558,0.0
경기도,과천,2019,22.167,44.417,0.003,0.024,0.028,0.608,0.0
경기도,과천,2020,18.833,39.5,0.003,0.026,0.024,0.517,0.0
경기도,광명,2016,26.0,53.0,0.005,0.01,0.034,0.7,0.29
경기도,광명,2017,27.167,50.167,0.004,0.028,0.032,0.525,0.0
경기도,광명,2018,25.333,45.417,0.004,0.023,0.032,0.517,1.82
경기도,광명,2019,25.75,48.0,0.004,0.027,0.032,0.542,1.24
경기도,광명,2020,21.917,41.167,0.003,0.028,0.023,0.5,1.63
경기도,광주,2017,30.625,49.875,0.004,0.023,0.03,0.562,1.48
경기도,광주,2018,27.583,44.833,0.004,0.019,0.028,0.542,0.85
경기도,광주,2019,26.333,47.917,0.004,0.023,0.027,0.542,1.36
경기도,광주,2020,22.583,40.0,0.002,0.024,0.021,0.442,0.27
경기도,구리,2015,30.545,52.182,0.005,0.027,0.027,0.491,0.0
경기도,구리,2016,33.0,59.25,0.004,0.026,0.027,0.425,1.58
경기도,구리,2017,29.583,58.167,0.004,0.027,0.027,0.408,0.51
경기도,구리,2018,23.667,42.667,0.003,0.024,0.025,0.392,0.5
경기도,구리,2019,25.333,44.833,0.003,0.026,0.024,0.4,1.49
경기도,구리,2020,20.417,37.333,0.003,0.027,0.019,0.392,2.02
경기도,군포,2017,25.6,49.3,0.005,0.028,0.027,0.4,1.41
경기도,군포,2018,26.167,45.667,0.004,0.023,0.03,0.458,0.72
경기도,군포,2019,24.667,49.833,0.004,0.028,0.026,0.475,1.09
경기도,군포,2020,20.917,37.25,0.004,0.029,0.023,0.425,0.0
경기도,김포,2015,27.25,56.167,0.005,0.027,0.023,0.517,0.58
경기도,김포,2016,32.917,60.583,0.004,0.028,0.022,0.483,0.56
경기도,김포,2017,27.25,63.25,0.004,0.031,0.02,0.425,0.79
경기도,김포,2018,23.833,42.833,0.004,0.027,0.019,0.333,0.74
경기도,김포,2019,26.0,46.667,0.004,0.031,0.016,0.392,0.7
경기도,김포,2020,22.583,40.583,0.003,0.031,0.014,0.417,0.44
경기도,남양주,2017,23.667,34.167,0.002,0.02,0.019,0.45,0.9
