Cluster,pm25,pm10,o3,so2,no2,co,District_강원도,District_경기도,District_경상남도,District_경상북도,District_광주광역시,District_대구광역시,District_대전광역시,District_부산광역시,District_서울특별시,District_세종특별자치시,District_울산광역시,District_인천광역시,District_전라남도,District_전라북도,District_제주특별자치도,District_충청남도,District_충청북도
-1,9.904923791142426,43.192424242424245,0.03351818181818176,0.00400757575757572,0.01772424242424238,0.4172727272727273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,11.8468803428576,43.828591613233016,0.028388913748626465,0.004097968619008009,0.017093501880414974,0.4711394387172666,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1
1,12.30835461405204,49.74366660203494,0.024707710315763402,0.004913470990434966,0.025953464228533344,0.5534581380254121,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
2,9.310099716370539,31.18227377381313,0.02263876500606055,0.00314979189831646,0.012485728460942716,0.3676457278675084,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
