District,City,year,pm25,pm10,so2,o3,no2,co
강원도,태백,2022,11.0,22.364,0.002,0.035,0.008,0.355
강원도,평창,2015,,,,,,
강원도,평창,2016,,,,,,
강원도,평창,2017,,,,,,
강원도,평창,2018,22.667,35.333,0.001,0.029,0.01,0.45
강원도,평창,2019,24.083,41.833,0.002,0.029,0.01,0.375
강원도,평창,2020,16.583,35.0,0.002,0.03,0.01,0.317
강원도,평창,2021,13.25,45.0,0.002,0.029,0.008,0.375
강원도,평창,2022,13.182,24.182,0.002,0.032,0.008,0.336
강원도,홍천,2015,,,,,,
강원도,홍천,2016,,,,,,
강원도,홍천,2017,,,,,,
강원도,홍천,2018,,,,,,
강원도,홍천,2019,22.364,36.182,0.003,0.027,0.014,0.445
강원도,홍천,2020,21.0,36.5,0.003,0.025,0.014,0.467
강원도,홍천,2021,16.583,35.636,0.003,0.026,0.012,0.425
강원도,홍천,2022,16.818,28.182,0.002,0.031,0.011,0.291
강원도,화천,2015,,,,,,
강원도,화천,2016,,,,,,
강원도,화천,2017,,,,,,
강원도,화천,2018,,,,,,
강원도,화천,2019,17.364,32.182,0.001,0.028,0.006,0.491
강원도,화천,2020,16.0,26.417,0.002,0.028,0.007,0.45
강원도,화천,2021,15.364,28.833,0.002,0.028,0.007,0.383
강원도,화천,2022,15.273,26.091,0.002,0.03,0.007,0.345
강원도,횡성,2015,,,,,,
강원도,횡성,2016,,,,,,
강원도,횡성,2017,,,,,,
강원도,횡성,2018,24.0,43.0,0.002,0.014,0.018,0.6
강원도,횡성,2019,25.5,42.417,0.002,0.025,0.012,0.517
강원도,횡성,2020,19.917,32.667,0.002,0.023,0.011,0.417
강원도,횡성,2021,16.417,33.667,0.002,0.025,0.009,0.442
강원도,횡성,2022,15.727,27.455,0.002,0.032,0.01,0.436
경기도,가평,2015,,48.636,0.004,0.025,0.012,0.392
경기도,가평,2016,,47.667,0.004,0.028,0.012,0.425
경기도,가평,2017,20.917,45.167,0.004,0.028,0.013,0.433
경기도,가평,2018,21.0,32.583,0.003,0.028,0.011,0.417
경기도,가평,2019,19.167,32.25,0.003,0.029,0.011,0.467
경기도,가평,2020,17.5,31.25,0.003,0.026,0.011,0.433
경기도,가평,2021,17.833,34.583,0.002,0.027,0.01,0.4
경기도,가평,2022,17.455,29.182,0.002,0.029,0.009,0.409
경기도,고양,2015,,51.667,0.005,0.027,0.023,0.483
경기도,고양,2016,,53.833,0.005,0.026,0.021,0.45
경기도,고양,2017,27.9,54.75,0.005,0.028,0.023,0.45
경기도,고양,2018,25.0,43.583,0.004,0.025,0.021,0.442
경기도,고양,2019,24.917,44.5,0.004,0.029,0.02,0.458
경기도,고양,2020,20.083,39.75,0.003,0.03,0.018,0.45
경기도,고양,2021,20.167,41.5,0.003,0.03,0.02,0.458
경기도,고양,2022,18.636,33.909,0.002,0.031,0.017,0.382
경기도,과천,2015,,46.75,0.004,0.022,0.032,0.608
