District,City,year,pm25,pm10,so2,o3,no2,co,AVG
강원도,태백,2017,24.417,42.533,0.003,0.029,0.016,0.473,81.48
강원도,태백,2018,21.312,36.302,0.002,0.027,0.014,0.441,81.88
강원도,태백,2019,20.727,35.364,0.003,0.039,0.009,0.355,82.3
강원도,태백,2020,17.917,27.167,0.003,0.037,0.008,0.417,82.51
강원도,평창,2015,26.472,48.3,0.004,0.028,0.018,0.57,80.9
강원도,평창,2016,26.683,45.8,0.003,0.028,0.017,0.537,81.23
강원도,평창,2017,24.417,42.533,0.003,0.029,0.016,0.473,81.54
강원도,평창,2018,22.667,35.333,0.001,0.029,0.01,0.45,81.81
강원도,평창,2019,24.083,41.833,0.002,0.029,0.01,0.375,82.53
강원도,평창,2020,16.583,35.0,0.002,0.03,0.01,0.317,82.94
강원도,홍천,2015,26.472,48.3,0.004,0.028,0.018,0.57,80.74
강원도,홍천,2016,26.683,45.8,0.003,0.028,0.017,0.537,80.89
강원도,홍천,2017,24.417,42.533,0.003,0.029,0.016,0.473,80.93
강원도,홍천,2018,21.312,36.302,0.002,0.027,0.014,0.441,81.37
강원도,홍천,2019,22.364,36.182,0.003,0.027,0.014,0.445,81.68
강원도,홍천,2020,21.0,36.5,0.003,0.025,0.014,0.467,81.89
강원도,화천,2015,26.472,48.3,0.004,0.028,0.018,0.57,80.79
강원도,화천,2016,26.683,45.8,0.003,0.028,0.017,0.537,81.28
강원도,화천,2017,24.417,42.533,0.003,0.029,0.016,0.473,81.62
강원도,화천,2018,21.312,36.302,0.002,0.027,0.014,0.441,82.55
강원도,화천,2019,17.364,32.182,0.001,0.028,0.006,0.491,82.81
강원도,화천,2020,16.0,26.417,0.002,0.028,0.007,0.45,82.93
강원도,횡성,2015,26.472,48.3,0.004,0.028,0.018,0.57,81.56
강원도,횡성,2016,26.683,45.8,0.003,0.028,0.017,0.537,81.82
강원도,횡성,2017,24.417,42.533,0.003,0.029,0.016,0.473,81.96
강원도,횡성,2018,24.0,43.0,0.002,0.014,0.018,0.6,82.23
강원도,횡성,2019,25.5,42.417,0.002,0.025,0.012,0.517,82.4
강원도,횡성,2020,19.917,32.667,0.002,0.023,0.011,0.417,82.58
경기도,가평,2015,28.059,48.636,0.004,0.025,0.012,0.392,80.46
경기도,가평,2016,28.54,47.667,0.004,0.028,0.012,0.425,81.04
경기도,가평,2017,20.917,45.167,0.004,0.028,0.013,0.433,81.24
경기도,가평,2018,21.0,32.583,0.003,0.028,0.011,0.417,81.59
경기도,가평,2019,19.167,32.25,0.003,0.029,0.011,0.467,82.06
경기도,가평,2020,17.5,31.25,0.003,0.026,0.011,0.433,82.08
경기도,고양,2015,28.059,51.667,0.005,0.027,0.023,0.483,83.67
경기도,고양,2016,28.54,53.833,0.005,0.026,0.021,0.45,84.103
경기도,고양,2017,27.9,54.75,0.005,0.028,0.023,0.45,84.487
경기도,고양,2018,25.0,43.583,0.004,0.025,0.021,0.442,84.833
경기도,고양,2019,24.917,44.5,0.004,0.029,0.02,0.458,85.183
경기도,고양,2020,20.083,39.75,0.003,0.03,0.018,0.45,85.4
경기도,광명,2015,28.059,48.5,0.005,0.024,0.033,0.6,82.99
경기도,광명,2016,26.0,52.0,0.004,0.025,0.029,0.55,83.45
경기도,광명,2017,27.167,50.167,0.004,0.028,0.032,0.525,83.79
경기도,광명,2018,25.333,45.417,0.004,0.023,0.032,0.517,84.22
경기도,광명,2019,25.75,48.0,0.004,0.027,0.032,0.542,84.57
경기도,광명,2020,21.917,41.167,0.003,0.028,0.023,0.5,84.85
경기도,광주,2015,28.059,54.917,0.006,0.021,0.034,0.692,81.95
경기도,광주,2016,28.54,52.083,0.005,0.022,0.032,0.642,82.6
경기도,광주,2017,29.667,54.818,0.004,0.025,0.032,0.608,83.08
경기도,광주,2018,27.583,44.833,0.004,0.019,0.028,0.542,83.52
경기도,광주,2019,26.333,47.917,0.004,0.023,0.027,0.542,84.0
경기도,광주,2020,22.583,40.0,0.002,0.024,0.021,0.442,84.22
경기도,구리,2015,30.667,52.182,0.004,0.026,0.028,0.5,82.63
경기도,구리,2016,33.0,59.25,0.004,0.026,0.027,0.425,82.89
경기도,구리,2017,29.583,58.167,0.004,0.027,0.027,0.408,83.63
경기도,구리,2018,23.667,42.667,0.003,0.024,0.025,0.392,84.02
경기도,구리,2019,25.333,44.833,0.003,0.026,0.024,0.4,84.4
경기도,구리,2020,20.417,37.333,0.003,0.027,0.019,0.392,85.01
경기도,군포,2015,28.059,53.583,0.004,0.023,0.033,0.483,84.25
경기도,군포,2016,28.54,50.917,0.005,0.027,0.03,0.458,84.66
경기도,군포,2017,25.6,51.083,0.005,0.028,0.029,0.425,85.15
경기도,군포,2018,26.167,45.667,0.004,0.023,0.03,0.458,85.36
경기도,군포,2019,24.667,49.833,0.004,0.028,0.026,0.475,85.57
경기도,김포,2015,27.25,56.167,0.005,0.027,0.023,0.517,83.26
경기도,김포,2016,32.917,60.583,0.004,0.028,0.022,0.483,83.82
