"경기도",수원,0.010,0.016,0.022,0.028,0.036,0.041,0.030,0.031,0.028,0.017,0.011,0.008,0.011,0.016,0.023,0.031,0.039,0.040,0.026,0.032,0.025,0.015,0.012,0.008,0.041,0.016,0.042,0.031,0.036,0.038,0.028*,0.023,0.025,0.018,0.014,0.010,0.012,0.017,0.026,0.031,0.037,0.037,0.028,0.031,0.025,0.017,0.010,0.010,0.010,0.015,0.025,0.030,0.049,0.044,0.033,0.036,0.024,0.019,0.012,0.008,0.011,0.016,0.024,0.038,0.039,0.047,0.033,0.022,0.031,0.022,0.015,0.013,0.014,0.022,0.027,0.039,0.041,0.044,0.039,0.035,0.032,0.022,0.018,0.013,0.014,0.025,0.028,0.044,0.050,0.037,0.037,0.029,0.030,0.022,0.016
"경기도",안양,0.011,0.016,0.020,0.026,0.033,0.038,0.028**,0.026,0.021,0.017,0.011,0.008,0.012,0.017,0.024,0.030,0.039,0.038,0.030,0.035,0.027,0.016,0.013,0.008,0.030,0.017,0.036,0.034,0.040,0.041,0.032,0.024,0.024,0.017,0.013,0.010,0.012,0.017,0.027,0.030,0.035,0.036,0.025,0.029,0.024,0.014,0.009,0.010,0.010,0.015,0.024,0.026,0.043,0.039,0.034,0.034,0.022,0.019,0.012,0.010,0.012,0.019,0.028,0.038,0.038,0.049,0.035,0.022,0.028,0.021,0.015,0.013,0.014,0.022,0.025,0.037,0.036,0.041,0.038,0.033,0.030,0.021,0.017,0.013,0.015,0.025,0.027,0.042,0.048,0.040,0.038,0.031,0.031,0.023,0.017
"경기도",성남,0.010,0.016,0.020,0.026,0.032,0.037,0.027,0.027,0.023,0.016,0.011,0.008,0.011,0.016,0.021,0.029,0.039,0.034,0.024,0.029,0.025,0.016,0.013,0.009,0.041,0.016,0.043,0.032,0.035,0.037,0.024,0.020,0.024,0.016,0.013,0.011,0.012,0.018,0.027,0.034,0.036,0.038,0.026,0.028,0.024,0.015,0.010,0.011,0.011,0.017,0.028,0.030,0.045,0.040,0.032,0.029,0.021,0.018,0.011,0.010,0.013,0.017,0.027,0.038,0.035,0.047,0.030,0.020,0.027,0.020,0.014,0.014,0.015,0.023,0.026,0.038,0.036,0.042,0.036,0.033,0.031,0.022,0.017,0.013,0.014,0.026,0.028,0.042,0.046,0.038,0.037,0.031,0.031,0.022,0.017
"경기도",의정부,0.013,0.019,0.025,0.033,0.042,0.048,0.034,0.033,0.025,0.020,0.012,0.009,0.013,0.019,0.026,0.033,0.043,0.040,0.027,0.029,0.026,0.018,0.013,0.010,0.032,0.019,0.032,0.037,0.043,0.045,0.033,0.026,0.022,0.014,0.011,0.012,0.018,0.029,0.036,0.046,0.043,0.044,0.026,0.032,0.029,0.017,0.012,0.013,0.014,0.022,0.031,0.038,0.052,0.044,0.036,0.032,0.023,0.020,0.013,0.012,0.014,0.020,0.030,0.041,0.041,0.046,0.032,0.021,0.026,0.021,0.013,0.012,0.013,0.021,0.031,0.042,0.040,0.044,0.039,0.033,0.029,0.020,0.017,0.014,0.017,0.028,0.030,0.043,0.049,0.038,0.034,0.029,0.025,0.019,0.015
"경기도",광명,0.012,0.019,0.024,0.030,0.037,0.041,0.030,0.031,0.026,0.020,0.012,0.010,0.015,0.020,0.027,0.032,0.042,0.039,0.028,0.031,0.027,0.017,0.014,0.010,0.033,0.019,0.037,0.036,0.040,0.040,0.031,0.024,0.027,0.019,0.014,0.012,0.014,0.019,0.027,0.031,0.035,0.035,0.023,0.030,0.026,0.017,0.011,0.012,0.012,0.018,0.028,0.029,0.046,0.038,0.036,0.038,0.026,0.023,0.014,0.013,0.015,0.021,0.031,0.041,0.039,0.050,0.032,0.022,0.029,0.022,0.016,0.016,0.015,0.024,0.026,0.038,0.039,0.043,0.040,0.034,0.032,0.023,0.017,0.015,0.018,0.028,0.029,0.045,0.050,0.040,0.040,0.033,0.034,0.025,0.018
"경기도",안산,0.013,0.021,0.025,0.031,0.038,0.042,0.033,0.033,0.028,0.022,0.013,0.010,0.015,0.020,0.025,0.030,0.038,0.039,0.027,0.030,0.030,0.019,0.016,0.011,0.035,0.021,0.035,0.036,0.039,0.040,0.030,0.026,0.028,0.021,0.016,0.013,0.014,0.020,0.029,0.034,0.038,0.038,0.023,0.030,0.028,0.020,0.013,0.014,0.015,0.020,0.032,0.032,0.046,0.039,0.032,0.034,0.025,0.022,0.015,0.013,0.016,0.021,0.030,0.039,0.037,0.043,0.034,0.02*,0.030*,0.023,0.017,0.016,0.016,0.024,0.029,0.040,0.041,0.044,0.039,0.033,0.030,0.023,0.019,0.015,0.016,0.026,0.027,0.041,0.048,0.036,0.036,0.029,0.032,0.023,0.019
"경기도",평택,0.014,0.022,0.024,0.029,0.036,0.041,0.032,0.034,0.031,0.027,0.015,0.011,0.016,0.021,0.027,0.032,0.047,0.045,0.032,0.035,0.032,0.019,0.015,0.012,0.028,0.023,0.028,0.034,0.043,0.049,0.034,0.027,0.030,0.022,0.018,0.014,0.016,0.023,0.034,0.036*,0.037*,0.037,0.025,0.028,0.026,0.020,0.014,0.014,0.015,0.021,0.032,0.032,0.050,0.045,0.038,0.039,0.028,0.022,0.016,0.014,0.017,0.022,0.033,0.044,0.043,0.048,0.034,0.024,0.030,0.024,0.017,0.016,0.017,0.026,0.031,0.043,0.043,0.047,0.038,0.035,0.032,0.024,0.020,0.015,0.017,0.028,0.030,0.043,0.051,0.040,0.041,0.032,0.034,0.027,0.020
"경기도",과천,0.012,0.017,0.022,0.027,0.033,0.036,0.027,0.027,0.021,0.018,0.011,0.009,0.014,0.019,0.024,0.031,0.038,0.036,0.024,0.027,0.022,0.015,0.013,0.009,0.035,0.018,0.037,0.033,0.036,0.037,0.025,0.020,0.022,0.016,0.013,0.011,0.013,0.017,0.024,0.029,0.032,0.032,0.022,0.025,0.021,0.015,0.009,0.011,0.011,0.016,0.027,0.028,0.044,0.038,0.030,0.032,0.021,0.018,0.012,0.011,0.013,0.018,0.028,0.040,0.036,0.048,0.031,0.020,0.028,0.021,0.016,0.015,0.017,0.024,0.027,0.039,0.037,0.041,0.034,0.029,0.028,0.020,0.017,0.014,0.015,0.028,0.029**,0.041*,0.043,0.034,0.036,0.029,0.029,0.021,0.016
"경기도",구리,0.014,0.020,0.026,0.033,0.040,0.045,0.034,0.033,0.025,0.017*,0.015,0.011,0.014,0.020,0.026,0.034,0.042,0.041,0.030,0.033,0.025,0.018,0.014,0.011,0.032,0.020,0.035,0.036,0.039,0.041,0.030,0.025,0.024,0.019,0.015,0.012,0.015,0.021,0.026,0.034,0.036,0.037,0.026,0.030,0.023,0.016,0.011,0.011,0.012,0.018,0.027,0.031,0.046,0.040*,0.036,0.032,0.024,0.021,0.013,0.012,0.016,0.021,0.031,0.038,0.037,0.046,0.030,0.022,0.028,0.022,0.017,0.015,0.016,0.025,0.028,0.035,0.035,0.041,0.039,0.032,0.029,0.022,0.017,0.014,0.015,0.026,0.025,0.038,0.043,0.035,0.031,0.031,0.026,0.019,0.017
"경기도",의왕,0.010,0.016,0.020,0.025,0.031,0.037,0.027,0.025,0.022,0.015,0.012**,0.007,0.011,0.014,0.022,0.030,0.037,0.036,0.025,0.029,0.024,0.015,0.012,0.008,0.037,0.015,0.045,0.029,0.032,0.035,0.026,0.022,0.022,0.016,0.011,0.009,0.010,0.014,0.025,0.029,0.033,0.032,0.023,0.028,0.024,0.015,0.009,0.010,0.010,0.014,0.023,0.028,0.042,0.040,0.033,0.032,0.023,0.020,0.013,0.009,0.011,0.017,0.025,0.039,0.040,0.047,0.032,0.023,0.030,0.023,0.017,0.014,0.016,0.024,0.027,0.040**,0.037,0.041,0.037,0.031,0.029,0.023,0.017,0.013,0.015,0.026,0.027,0.043,0.050,0.037,0.037,0.029,0.032,0.023,0.017
