시도,시군구,2020,2019,2018,2017,2016,2015
경기도,성남시 중원구,0.92,0.9,0.44,0.0,0.41,0.0
경기도,성남시 분당구,0.62,1.02,1.21,0.8,0.6,0.0
경기도,의정부시,0.88,1.33,0.68,0.23,1.15,0.23
경기도,안양시,0.0,0.0,0.0,0.0,0.0,0.0
경기도,안양시 만안구,0.83,1.61,1.58,1.18,2.0,1.62
경기도,안양시 동안구,0.32,0.62,1.52,0.59,0.58,0.0
경기도,부천시,0.97,1.91,2.01,1.06,1.18,1.17
경기도,부천시 원미구,0.0,0.0,0.0,0.0,0.0,0.0
경기도,부천시 소사구,0.0,0.0,0.0,0.0,0.0,0.0
경기도,부천시 오정구,0.0,0.0,0.0,0.0,0.0,0.0
경기도,광명시,1.63,1.24,1.82,0.0,0.29,0.0
경기도,평택시,0.38,0.59,0.82,0.21,0.0,0.22
경기도,평택시 평택,0.0,0.0,0.0,0.0,0.0,0.0
경기도,평택시 송탄,0.0,0.0,0.0,0.0,0.0,0.0
경기도,동두천시,1.06,3.14,2.07,2.05,2.04,0.0
경기도,안산시,0.0,0.0,0.0,0.0,0.0,0.0
경기도,안산시 상록구,0.29,0.57,0.55,0.8,1.59,1.58
경기도,안산시 단원구,0.33,0.33,0.0,0.64,0.0,0.93
경기도,고양시,0.0,0.0,0.0,0.0,0.0,0.0
경기도,고양시 덕양구,0.42,1.31,0.67,0.45,1.13,0.23
경기도,고양시 일산동구,0.0,1.35,1.36,0.34,1.04,1.05
경기도,고양시 일산서구,0.66,1.33,2.68,0.33,1.66,0.67
경기도,과천시,0.0,0.0,0.0,0.0,1.51,0.0
경기도,구리시,2.02,1.49,0.5,0.51,1.58,0.0
경기도,남양주시,0.0,0.58,1.34,0.9,0.46,0.31
경기도,남양주시남양주,0.71,0.0,0.0,0.0,0.0,0.0
경기도,남양주시풍양,0.0,0.0,0.0,0.0,0.0,0.0
경기도,오산시,0.44,0.45,2.31,0.0,0.0,0.0
경기도,시흥시,1.03,1.52,1.15,1.46,1.0,1.01
경기도,군포시,0.0,1.09,0.72,1.41,0.7,0.7
경기도,의왕시,0.62,0.63,1.29,0.64,0.64,0.0
경기도,하남시,0.71,0.0,0.0,1.35,1.06,0.63
경기도,용인시,0.0,0.0,0.0,0.0,0.0,0.0
경기도,용인시 처인구,1.17,0.8,2.08,0.87,1.34,0.0
경기도,용인시 기흥구,0.23,0.23,1.65,0.24,0.48,0.0
경기도,용인시 수지구,0.81,1.37,1.97,0.29,0.0,0.0
경기도,파주시,0.87,0.88,1.57,0.92,0.47,0.96
경기도,이천시,0.92,0.0,2.34,0.94,0.48,0.0
경기도,안성시,0.54,0.54,1.09,0.0,0.0,0.0
경기도,김포시,0.44,0.7,0.74,0.79,0.56,0.58
경기도,화성시,0.6,1.14,0.97,0.9,0.16,0.35
경기도,광주시,0.27,1.36,0.85,1.48,0.0,0.0
경기도,양주시,0.44,2.73,4.19,0.96,0.49,0.49
경기도,포천시,4.74,2.68,1.98,0.65,0.0,0.64
경기도,여주시,0.0,1.8,1.79,0.89,0.9,0.9
경기도,연천군,4.58,0.0,0.0,2.19,0.0,0.0
경기도,가평군,0.0,0.0,4.77,0.0,3.21,0.0
경기도,양평군,0.0,2.58,1.73,0.88,0.0,0.0
강원도,강원도,1.04,1.95,1.49,1.35,1.61,0.97
강원도,춘천시,1.06,2.49,2.49,0.71,1.79,0.36
강원도,원주시,0.57,1.15,1.46,1.77,1.19,0.3
강원도,강릉시,0.47,0.94,0.94,0.94,2.33,2.79
강원도,동해시,2.21,2.2,0.0,2.15,2.14,1.06
강원도,태백시,0.0,2.25,2.2,6.45,6.34,0.0
강원도,속초시,1.22,1.22,0.0,2.44,0.0,0.0
강원도,삼척시,1.51,1.48,0.0,0.0,1.42,1.4
강원도,홍천군,0.0,7.19,0.0,1.42,1.42,0.0
강원도,횡성군,2.15,0.0,2.15,4.34,2.18,0.0
강원도,영월군,0.0,0.0,0.0,0.0,0.0,2.49
강원도,평창군,2.39,2.36,4.67,2.31,0.0,2.3
강원도,정선군,2.7,2.67,2.64,0.0,2.57,0.0
강원도,철원군,2.22,2.17,4.27,0.0,0.0,2.08
강원도,화천군,4.02,4.0,0.0,0.0,0.0,0.0
강원도,양구군,0.0,4.33,4.23,0.0,4.16,0.0
강원도,인제군,0.0,0.0,0.0,0.0,3.03,0.0
강원도,고성군,3.7,0.0,0.0,0.0,0.0,3.32
강원도,양양군,0.0,7.26,3.67,0.0,0.0,3.64
충청북도,충청북도,0.56,0.63,1.5,0.44,0.25,0.06
충청북도,충주시,0.95,1.42,1.91,0.0,0.0,0.0
충청북도,제천시,0.0,0.74,0.74,0.73,1.47,0.73
충청북도,통합청주시,0.0,0.0,0.0,0.0,0.0,0.0
