Column1,Unnamed: 0,District,City,year,pm25,pm10,so2,o3,no2,co,AVG
0,0,강원도,강릉,2010,0,48,0.007,0.024,0.02,0.6,79.83
1,1,강원도,강릉,2010,0,51,0.006,0.022,0.022,0.6,79.83
2,2,강원도,강릉,2010,0,62,0.006,0.028,0.02,0.5,79.83
3,3,강원도,강릉,2010,0,51,0.006,0.036,0.02,0.5,79.83
4,4,강원도,강릉,2010,0,51,0.004,0.044,0.017,0.4,79.83
5,5,강원도,강릉,2010,0,45,0.003,0.035,0.022,0.4,79.83
6,6,강원도,강릉,2010,0,33,0.003,0.023,0.015,0.3,79.83
7,7,강원도,강릉,2010,0,35,0.004,0.019,0.016,0.4,79.83
8,8,강원도,강릉,2010,0,26,0.002,0.02,0.014,0.3,79.83
9,9,강원도,강릉,2010,0,31,0.004,0.022,0.016,0.4,79.83
10,10,강원도,강릉,2010,0,57,0.006,0.026,0.018,0.5,79.83
11,11,강원도,강릉,2010,0,52,0.006,0.023,0.018,0.5,79.83
12,12,강원도,강릉,2011,0,39,0.008,0.024,0.019,0.6,80.56
13,13,강원도,강릉,2011,0,62,0.011,0.025,0.025,0.7,80.56
14,14,강원도,강릉,2011,0,67,0.009,0.035,0.019,0.5,80.56
15,15,강원도,강릉,2011,0,62,0.006,0.043,0.017,0.5,80.56
16,16,강원도,강릉,2011,0,62,0.004,0.035,0.017,0.4,80.56
17,17,강원도,강릉,2011,0,36,0.004,0.039,0.014,0.3,80.56
18,18,강원도,강릉,2011,0,27,0.002,0.021,0.014,0.3,80.56
19,19,강원도,강릉,2011,0,22,0.002,0.022,0.012,0.3,80.56
20,20,강원도,강릉,2011,0,27,0.003,0.027,0.012,0.3,80.56
21,21,강원도,강릉,2011,0,38,0.004,0.026,0.016,0.4,80.56
22,22,강원도,강릉,2011,0,45,0.006,0.021,0.017,0.5,80.56
23,23,강원도,강릉,2011,0,37,0.008,0.021,0.016,0.5,80.56
24,24,강원도,강릉,2012,0,53,0.011,0.017,0.017,0.7,80.87
25,25,강원도,강릉,2012,0,46,0.008,0.019,0.016,0.5,80.87
26,26,강원도,강릉,2012,0,50,0.007,0.029,0.016,0.6,80.87
27,27,강원도,강릉,2012,0,57,0.004,0.034,0.014,0.4,80.87
28,28,강원도,강릉,2012,0,47,0.004,0.037,0.015,0.4,80.87
29,29,강원도,강릉,2012,0,38,0.003,0.03,0.013,0.3,80.87
30,30,강원도,강릉,2012,0,27,0.002,0.026,0.011,0.3,80.87
31,31,강원도,강릉,2012,0,21,0.002,0.02,0.011,0.4,80.87
32,32,강원도,강릉,2012,0,24,0.003,0.025,0.011,0.4,80.87
33,33,강원도,강릉,2012,0,34,0.004,0.028,0.013,0.5,80.87
34,34,강원도,강릉,2012,0,41,0.006,0.023,0.013,0.6,80.87
35,35,강원도,강릉,2012,0,36,0.008,0.019,0.015,0.6,80.87
36,36,강원도,강릉,2013,0,55,0.01,0.022,0.019,0.7,81.2
37,37,강원도,강릉,2013,0,47,0.007,0.029,0.016,0.7,81.2
38,38,강원도,강릉,2013,0,55,0.006,0.036,0.015,0.6,81.2
39,39,강원도,강릉,2013,0,45,0.005,0.039,0.012,0.6,81.2
40,40,강원도,강릉,2013,0,44,0.003,0.037,0.012,0.3,81.2
41,41,강원도,강릉,2013,0,30,0.004,0.025,0.012,0.2,81.2
42,42,강원도,강릉,2013,0,29,0.002,0.026,0.01,0.3,81.2
43,43,강원도,강릉,2013,0,33,0.002,0.031,0.009,0.4,81.2
44,44,강원도,강릉,2013,0,31,0.003,0.023,0.01,0.5,81.2
45,45,강원도,강릉,2013,0,30,0.004,0.024,0.012,0.8,81.2
46,46,강원도,강릉,2013,0,35,0.006,0.023,0.012,1.2,81.2
47,47,강원도,강릉,2013,0,45,0.008,0.018,0.015,0.7,81.2
48,48,강원도,강릉,2014,0,51,0.008,0.02,0.013,0.7,81.65
49,49,강원도,강릉,2014,0,56,0.004,0.012,0.018,0.8,81.65
50,50,강원도,강릉,2014,0,60,0.004,0.027,0.013,0.5,81.65
51,51,강원도,강릉,2014,0,56,0.005,0.038,0.012,0.5,81.65
52,52,강원도,강릉,2014,0,56,0.003,0.043,0.014,0.3,81.65
53,53,강원도,강릉,2014,0,41,0.002,0.032,0.012,0.2,81.65
54,54,강원도,강릉,2014,0,37,0.002,0.036,0.013,0.3,81.65
55,55,강원도,강릉,2014,0,32,0.002,0.029,0.012,0.2,81.65
56,56,강원도,강릉,2014,0,32,0.002,0.027,0.01,0.7,81.65
57,57,강원도,강릉,2014,0,39,0.003,0.027,0.014,0.7,81.65
58,58,강원도,강릉,2014,0,39,0.005,0.022,0.016,0.8,81.65
59,59,강원도,강릉,2014,0,50,0.007,0.024,0.013,0.6,81.65
60,60,강원도,강릉,2015,20,48,0.007,0.022,0.014,0.8,82.11
61,61,강원도,강릉,2015,24,74,0.007,0.025,0.014,0.6,82.11
62,62,강원도,강릉,2015,25,72,0.006,0.032,0.015,0.6,82.11
63,63,강원도,강릉,2015,20,55,0.004,0.037,0.012,0.4,82.11
64,64,강원도,강릉,2015,21,54,0.003,0.046,0.012,0.4,82.11
65,65,강원도,강릉,2015,21,43,0.003,0.039,0.011,0.3,82.11
66,66,강원도,강릉,2015,17,34,0.002,0.027,0.01,0.3,82.11
67,67,강원도,강릉,2015,22,37,0.002,0.033,0.009,0.3,82.11
68,68,강원도,강릉,2015,12,34,0.002,0.026,0.01,0.4,82.11
69,69,강원도,강릉,2015,14,39,0.004,0.022,0.014,0.5,82.11
70,70,강원도,강릉,2015,25,46,0.005,0.021,0.016,0.6,82.11
71,71,강원도,강릉,2015,10.45238095,47,0.003,0.031,0.013,0.4,82.11
72,72,강원도,강릉,2016,28,43,0.004,0.026,0.015,0.6,82.56
73,73,강원도,강릉,2016,28,49,0.005,0.029,0.015,0.8,82.56
74,74,강원도,강릉,2016,35,63,0.005,0.034,0.018,0.5,82.56
75,75,강원도,강릉,2016,30,69,0.003,0.042,0.015,0.4,82.56
76,76,강원도,강릉,2016,32,58,0.002,0.048,0.015,0.4,82.56
77,77,강원도,강릉,2016,30,44,0.002,0.039,0.014,0.3,82.56
78,78,강원도,강릉,2016,23,33,0.002,0.026,0.011,0.3,82.56
79,79,강원도,강릉,2016,17,33,0.002,0.026,0.007,0.3,82.56
80,80,강원도,강릉,2016,25,38,0.002,0.024,0.009,0.4,82.56
81,81,강원도,강릉,2016,29,53,0.004,0.023,0.017,0.7,82.56
82,82,강원도,강릉,2016,26,40,0.005,0.022,0.015,0.6,82.56
83,83,강원도,강릉,2016,17.78571429,44,0.003,0.023,0.014,0.5,82.56
84,84,강원도,강릉,2017,30,48,0.005,0.011,0.011,0.6,82.94
85,85,강원도,강릉,2017,29,52,0.004,0.031,0.013,0.5,82.94
86,86,강원도,강릉,2017,37,62,0.004,0.015,0.015,0.4,82.94
87,87,강원도,강릉,2017,27,55,0.003,0.048,0.008,0.3,82.94
88,88,강원도,강릉,2017,29,61,0.003,0.052,0.014,0.3,82.94
89,89,강원도,강릉,2017,24,38,0.001,0.042,0.012,0.3,82.94
90,90,강원도,강릉,2017,21,33,0.001,0.033,0.011,0.2,82.94
91,91,강원도,강릉,2017,15,29,0.002,0.022,0.013,0.3,82.94
92,92,강원도,강릉,2017,21,41,0.003,0.034,0.012,0.5,82.94
93,93,강원도,강릉,2017,21,37,0.003,0.029,0.012,0.6,82.94
94,94,강원도,강릉,2017,25,29,0.004,0.025,0.012,0.6,82.94
95,95,강원도,강릉,2017,16.54761905,39,0.003,0.026,0.011,0.5,82.94
96,96,강원도,강릉,2018,27,33,0.005,0.027,0.02,0.5,83.16
97,97,강원도,강릉,2018,23,37,0.005,0.03,0.011,0.5,83.16
98,98,강원도,강릉,2018,25,37,0.005,0.038,0.015,0.4,83.16
99,99,강원도,강릉,2018,24,49,0.002,0.044,0.015,0.3,83.16
100,100,강원도,강릉,2018,21,47,0.002,0.046,0.013,0.3,83.16
101,101,강원도,강릉,2018,18,37,0.002,0.048,0.013,0.3,83.16
102,102,강원도,강릉,2018,17,32,0.002,0.033,0.011,0.2,83.16
103,103,강원도,강릉,2018,13,31,0.002,0.025,0.01,0.3,83.16
104,104,강원도,강릉,2018,17,24,0.003,0.027,0.012,0.3,83.16
105,105,강원도,강릉,2018,19,46,0.003,0.028,0.018,0.3,83.16
106,106,강원도,강릉,2018,16,30,0.004,0.024,0.017,0.3,83.16
107,107,강원도,강릉,2018,14.42857143,17,0.003,0.033,0.006,0.2,83.16
108,108,강원도,강릉,2019,23,41,0.005,0.029,0.017,0.3,83.44
109,109,강원도,강릉,2019,25,42,0.004,0.034,0.016,0.4,83.44
110,110,강원도,강릉,2019,32,51,0.003,0.046,0.014,0.3,83.44
111,111,강원도,강릉,2019,16,36,0.002,0.042,0.013,0.3,83.44
112,112,강원도,강릉,2019,21,47,0.002,0.059,0.012,0.3,83.44
113,113,강원도,강릉,2019,16,32,0.002,0.045,0.01,0.3,83.44
114,114,강원도,강릉,2019,14,29,0.001,0.038,0.008,0.3,83.44
115,115,강원도,강릉,2019,12,28,0.001,0.034,0.009,0.4,83.44
116,116,강원도,강릉,2019,10,25,0.001,0.028,0.009,0.2,83.44
117,117,강원도,강릉,2019,18.47619048,36.19047619,0.002761905,0.032428571,0.013214286,0.407142857,83.44
118,118,강원도,강릉,2019,17,30,0.002,0.028,0.015,0.4,83.44
119,119,강원도,강릉,2019,18.47619048,29,0.001,0.026,0.009,0.2,83.44
120,120,강원도,강릉,2020,14,25,0.002,0.028,0.014,0.5,83.82
121,121,강원도,강릉,2020,19,32,0.003,0.033,0.014,0.6,83.82
122,122,강원도,강릉,2020,16,36,0.002,0.039,0.011,0.4,83.82
123,123,강원도,강릉,2020,15,38,0.002,0.047,0.011,0.3,83.82
124,124,강원도,강릉,2020,12,32,0.003,0.042,0.011,0.5,83.82
125,125,강원도,강릉,2020,18,42,0.003,0.047,0.01,0.4,83.82
126,126,강원도,강릉,2020,8,14,0.002,0.029,0.01,0.5,83.82
127,127,강원도,강릉,2020,11,17,0.002,0.026,0.011,0.5,83.82
128,128,강원도,강릉,2020,11,27,0.003,0.035,0.009,0.5,83.82
129,129,강원도,강릉,2020,19,32,0.003,0.033,0.013,0.4,83.82
130,130,강원도,강릉,2020,14.72619048,30,0.003,0.033,0.014,0.4,83.82
131,131,강원도,강릉,2020,14.72619048,31,0.002,0.037,0.01,0.5,83.82
132,132,강원도,동해,2010,0,47,0.009,0.026,0.02,0.7,79.21
133,133,강원도,동해,2010,0,50,0.008,0.028,0.024,0.6,79.21
134,134,강원도,동해,2010,0,74,0.005,0.033,0.021,0.7,79.21
135,135,강원도,동해,2010,0,56,0.005,0.038,0.024,0.8,79.21
136,136,강원도,동해,2010,0,56,0.004,0.043,0.021,0.6,79.21
137,137,강원도,동해,2010,0,38,0.003,0.03,0.025,0.7,79.21
138,138,강원도,동해,2010,0,30,0.003,0.023,0.017,0.6,79.21
139,139,강원도,동해,2010,0,31,0.003,0.018,0.02,0.6,79.21
140,140,강원도,동해,2010,0,21,0.003,0.019,0.02,0.6,79.21
141,141,강원도,동해,2010,0,25,0.004,0.022,0.023,0.7,79.21
142,142,강원도,동해,2010,0,51,0.007,0.027,0.024,0.8,79.21
143,143,강원도,동해,2010,0,43,0.007,0.025,0.021,0.7,79.21
144,144,강원도,동해,2011,0,33,0.007,0.028,0.018,0.6,79.58
145,145,강원도,동해,2011,0,51,0.006,0.02,0.023,0.9,79.58
146,146,강원도,동해,2011,0,58,0.006,0.036,0.021,0.7,79.58
147,147,강원도,동해,2011,0,59,0.004,0.043,0.02,0.7,79.58
148,148,강원도,동해,2011,0,69,0.003,0.035,0.02,0.6,79.58
149,149,강원도,동해,2011,0,35,0.002,0.036,0.022,0.6,79.58
150,150,강원도,동해,2011,0,24,0.002,0.02,0.018,0.6,79.58
151,151,강원도,동해,2011,0,17,0.001,0.021,0.017,0.6,79.58
152,152,강원도,동해,2011,0,19,0.002,0.026,0.019,0.6,79.58
153,153,강원도,동해,2011,0,35,0.004,0.024,0.026,0.8,79.58
154,154,강원도,동해,2011,0,38,0.006,0.023,0.023,0.8,79.58
155,155,강원도,동해,2011,0,30,0.007,0.023,0.019,0.7,79.58
156,156,강원도,동해,2012,0,42,0.009,0.025,0.019,0.8,79.89
157,157,강원도,동해,2012,0,41,0.008,0.025,0.019,0.7,79.89
158,158,강원도,동해,2012,0,46,0.005,0.035,0.02,0.8,79.89
159,159,강원도,동해,2012,0,53,0.004,0.042,0.021,0.8,79.89
160,160,강원도,동해,2012,0,43,0.003,0.041,0.019,0.6,79.89
161,161,강원도,동해,2012,0,32,0.001,0.033,0.014,0.4,79.89
162,162,강원도,동해,2012,0,30,0.002,0.028,0.014,0.5,79.89
163,163,강원도,동해,2012,0,23,0.002,0.024,0.012,0.5,79.89
164,164,강원도,동해,2012,0,23,0.002,0.028,0.015,0.5,79.89
165,165,강원도,동해,2012,0,31,0.003,0.029,0.019,0.6,79.89
166,166,강원도,동해,2012,0,36,0.005,0.027,0.015,0.6,79.89
167,167,강원도,동해,2012,0,29,0.006,0.026,0.016,0.4,79.89
168,168,강원도,동해,2013,0,45,0.008,0.032,0.015,0.6,80.06
169,169,강원도,동해,2013,0,43,0.006,0.036,0.015,0.6,80.06
170,170,강원도,동해,2013,0,53,0.004,0.043,0.015,0.7,80.06
171,171,강원도,동해,2013,0,44,0.004,0.048,0.013,0.5,80.06
172,172,강원도,동해,2013,0,43,0.003,0.041,0.014,0.5,80.06
173,173,강원도,동해,2013,0,32,0.002,0.026,0.011,0.3,80.06
174,174,강원도,동해,2013,0,29,0.002,0.026,0.012,0.4,80.06
175,175,강원도,동해,2013,0,32,0.002,0.029,0.012,0.5,80.06
176,176,강원도,동해,2013,0,28,0.002,0.022,0.016,0.6,80.06
177,177,강원도,동해,2013,0,29,0.003,0.026,0.016,0.7,80.06
178,178,강원도,동해,2013,0,33,0.004,0.026,0.015,1,80.06
179,179,강원도,동해,2013,0,40,0.007,0.024,0.016,0.7,80.06
180,180,강원도,동해,2014,0,44,0.008,0.023,0.018,0.7,80.61
181,181,강원도,동해,2014,0,44,0.006,0.025,0.02,0.8,80.61
182,182,강원도,동해,2014,0,57,0.005,0.034,0.018,0.6,80.61
183,183,강원도,동해,2014,0,54,0.005,0.039,0.022,0.6,80.61
184,184,강원도,동해,2014,0,57,0.004,0.048,0.018,0.5,80.61
185,185,강원도,동해,2014,0,36,0.003,0.033,0.014,0.3,80.61
186,186,강원도,동해,2014,0,35,0.003,0.03,0.019,0.6,80.61
187,187,강원도,동해,2014,0,31,0.002,0.026,0.015,0.6,80.61
188,188,강원도,동해,2014,0,28,0.002,0.023,0.017,0.6,80.61
189,189,강원도,동해,2014,0,36,0.003,0.022,0.022,0.6,80.61
190,190,강원도,동해,2014,0,37,0.004,0.018,0.023,0.7,80.61
191,191,강원도,동해,2014,0,36,0.006,0.022,0.017,0.6,80.61
192,192,강원도,동해,2015,10.45238095,39,0.006,0.021,0.02,0.7,80.87
193,193,강원도,동해,2015,10.45238095,64,0.005,0.024,0.02,0.6,80.87
194,194,강원도,동해,2015,10.45238095,66,0.005,0.03,0.024,0.7,80.87
195,195,강원도,동해,2015,10.45238095,51,0.003,0.035,0.02,0.6,80.87
196,196,강원도,동해,2015,10.45238095,52,0.004,0.042,0.02,0.4,80.87
197,197,강원도,동해,2015,10.45238095,38,0.003,0.034,0.015,0.4,80.87
198,198,강원도,동해,2015,10.45238095,26,0.002,0.025,0.013,0.3,80.87
199,199,강원도,동해,2015,10.45238095,36,0.002,0.028,0.017,0.5,80.87
200,200,강원도,동해,2015,10.45238095,19,0.002,0.023,0.016,0.5,80.87
201,201,강원도,동해,2015,10.45238095,24,0.003,0.021,0.016,0.5,80.87
202,202,강원도,동해,2015,10.45238095,34,0.004,0.018,0.021,0.6,80.87
203,203,강원도,동해,2015,10.45238095,32,0.003,0.026,0.019,0.6,80.87
204,204,강원도,동해,2016,23,35,0.004,0.023,0.018,0.6,81.41
205,205,강원도,동해,2016,23,39,0.004,0.026,0.017,0.6,81.41
206,206,강원도,동해,2016,29,52,0.003,0.03,0.019,0.5,81.41
207,207,강원도,동해,2016,24,63,0.002,0.033,0.017,0.4,81.41
208,208,강원도,동해,2016,24,57,0.003,0.042,0.019,0.4,81.41
209,209,강원도,동해,2016,19,38,0.002,0.036,0.015,0.4,81.41
210,210,강원도,동해,2016,15,25,0.002,0.023,0.013,0.4,81.41
211,211,강원도,동해,2016,16,20,0.001,0.024,0.014,0.5,81.41
212,212,강원도,동해,2016,17,26,0.001,0.022,0.015,0.5,81.41
213,213,강원도,동해,2016,22,38,0.003,0.022,0.018,0.6,81.41
214,214,강원도,동해,2016,18,30,0.003,0.02,0.018,0.5,81.41
215,215,강원도,동해,2016,17.78571429,26,0.002,0.02,0.018,0.5,81.41
216,216,강원도,동해,2017,23,35,0.003,0.016,0.016,0.5,81.86
217,217,강원도,동해,2017,22,36,0.003,0.032,0.014,0.5,81.86
218,218,강원도,동해,2017,31,47,0.003,0.018,0.018,0.4,81.86
219,219,강원도,동해,2017,24,49,0.002,0.047,0.014,0.4,81.86
220,220,강원도,동해,2017,23,58,0.003,0.05,0.014,0.4,81.86
221,221,강원도,동해,2017,19,41,0.002,0.039,0.015,0.3,81.86
222,222,강원도,동해,2017,16,36,0.002,0.029,0.016,0.4,81.86
223,223,강원도,동해,2017,8,22,0.002,0.018,0.01,0.4,81.86
224,224,강원도,동해,2017,14,29,0.003,0.034,0.02,0.7,81.86
225,225,강원도,동해,2017,20,29,0.003,0.024,0.021,0.6,81.86
226,226,강원도,동해,2017,23,27,0.003,0.026,0.017,0.5,81.86
227,227,강원도,동해,2017,16.54761905,20,0.002,0.023,0.017,0.6,81.86
228,228,강원도,동해,2018,23,31,0.003,0.028,0.018,0.5,81.98
229,229,강원도,동해,2018,24,36,0.003,0.033,0.017,0.5,81.98
230,230,강원도,동해,2018,23,38,0.002,0.041,0.017,0.4,81.98
231,231,강원도,동해,2018,22,53,0.002,0.045,0.015,0.4,81.98
232,232,강원도,동해,2018,23,43,0.002,0.044,0.013,0.3,81.98
233,233,강원도,동해,2018,21,36,0.002,0.043,0.015,0.4,81.98
234,234,강원도,동해,2018,20,30,0.002,0.028,0.013,0.3,81.98
235,235,강원도,동해,2018,11,28,0.002,0.023,0.014,0.4,81.98
236,236,강원도,동해,2018,14,21,0.002,0.026,0.014,0.3,81.98
237,237,강원도,동해,2018,19,38,0.002,0.023,0.023,0.5,81.98
238,238,강원도,동해,2018,16,31,0.003,0.023,0.02,0.5,81.98
239,239,강원도,동해,2018,14.42857143,25,0.002,0.028,0.016,0.3,81.98
240,240,강원도,동해,2019,23,41,0.003,0.027,0.02,0.4,82.46
241,241,강원도,동해,2019,26,43,0.003,0.032,0.018,0.5,82.46
242,242,강원도,동해,2019,32,49,0.002,0.044,0.015,0.4,82.46
243,243,강원도,동해,2019,18,38,0.002,0.04,0.017,0.4,82.46
244,244,강원도,동해,2019,22,45,0.002,0.051,0.017,0.5,82.46
245,245,강원도,동해,2019,18,30,0.002,0.039,0.014,0.4,82.46
246,246,강원도,동해,2019,18,26,0.002,0.032,0.013,0.4,82.46
247,247,강원도,동해,2019,14,25,0.002,0.03,0.013,0.5,82.46
248,248,강원도,동해,2019,11,19,0.002,0.02,0.013,0.4,82.46
249,249,강원도,동해,2019,15,30,0.002,0.021,0.019,0.4,82.46
250,250,강원도,동해,2019,17,24,0.002,0.02,0.018,0.5,82.46
251,251,강원도,동해,2019,18.47619048,25,0.002,0.022,0.015,0.4,82.46
252,252,강원도,동해,2020,15,21,0.002,0.022,0.015,0.5,82.54
253,253,강원도,동해,2020,20,28,0.002,0.026,0.015,0.5,82.54
254,254,강원도,동해,2020,18,30,0.002,0.03,0.012,0.4,82.54
255,255,강원도,동해,2020,17,32,0.002,0.037,0.011,0.4,82.54
256,256,강원도,동해,2020,14,27,0.002,0.032,0.011,0.4,82.54
257,257,강원도,동해,2020,17,30,0.001,0.033,0.011,0.3,82.54
258,258,강원도,동해,2020,10,16,0.001,0.021,0.009,0.3,82.54
259,259,강원도,동해,2020,19,22,0.001,0.017,0.011,0.4,82.54
260,260,강원도,동해,2020,15,21,0.001,0.026,0.009,0.4,82.54
261,261,강원도,동해,2020,17,26,0.003,0.022,0.017,0.4,82.54
262,262,강원도,동해,2020,17,25,0.003,0.025,0.015,0.4,82.54
263,263,강원도,동해,2020,14.72619048,25,0.002,0.025,0.014,0.5,82.54
264,264,강원도,삼척,2010,0,43,0.01,0.027,0.019,0.7,78.85
265,265,강원도,삼척,2010,0,43,0.009,0.029,0.019,0.7,78.85
266,266,강원도,삼척,2010,0,63,0.007,0.033,0.017,0.6,78.85
267,267,강원도,삼척,2010,0,48,0.007,0.041,0.017,0.6,78.85
268,268,강원도,삼척,2010,0,52,0.005,0.043,0.013,0.4,78.85
269,269,강원도,삼척,2010,0,42,0.006,0.034,0.01,0.4,78.85
270,270,강원도,삼척,2010,0,32,0.003,0.023,0.01,0.3,78.85
271,271,강원도,삼척,2010,0,30,0.002,0.021,0.013,0.5,78.85
272,272,강원도,삼척,2010,0,23,0.003,0.022,0.012,0.5,78.85
273,273,강원도,삼척,2010,0,31,0.004,0.022,0.015,0.5,78.85
274,274,강원도,삼척,2010,0,57,0.007,0.027,0.018,0.7,78.85
275,275,강원도,삼척,2010,0,50,0.008,0.025,0.018,0.7,78.85
276,276,강원도,삼척,2011,0,41,0.008,0.027,0.018,0.6,79.41
277,277,강원도,삼척,2011,0,56,0.006,0.024,0.019,0.7,79.41
278,278,강원도,삼척,2011,0,66,0.007,0.038,0.017,0.6,79.41
279,279,강원도,삼척,2011,0,61,0.005,0.045,0.016,0.6,79.41
280,280,강원도,삼척,2011,0,66,0.003,0.039,0.017,0.5,79.41
281,281,강원도,삼척,2011,0,38,0.002,0.043,0.015,0.5,79.41
282,282,강원도,삼척,2011,0,28,0.001,0.025,0.013,0.5,79.41
283,283,강원도,삼척,2011,0,26,0.001,0.024,0.011,0.5,79.41
284,284,강원도,삼척,2011,0,28,0.002,0.031,0.011,0.5,79.41
285,285,강원도,삼척,2011,0,39,0.003,0.031,0.015,0.6,79.41
286,286,강원도,삼척,2011,0,43,0.005,0.025,0.017,0.6,79.41
287,287,강원도,삼척,2011,0,37,0.007,0.023,0.018,0.7,79.41
288,288,강원도,삼척,2012,0,49,0.008,0.025,0.018,0.7,80.04
289,289,강원도,삼척,2012,0,40,0.008,0.029,0.017,0.6,80.04
290,290,강원도,삼척,2012,0,47,0.006,0.039,0.017,0.7,80.04
291,291,강원도,삼척,2012,0,60,0.004,0.044,0.017,0.6,80.04
292,292,강원도,삼척,2012,0,49,0.003,0.045,0.017,0.5,80.04
293,293,강원도,삼척,2012,0,37,0.002,0.032,0.013,0.4,80.04
294,294,강원도,삼척,2012,0,32,0.002,0.028,0.013,0.5,80.04
295,295,강원도,삼척,2012,0,26,0.002,0.02,0.012,0.5,80.04
296,296,강원도,삼척,2012,0,26,0.002,0.026,0.012,0.5,80.04
297,297,강원도,삼척,2012,0,35,0.003,0.029,0.014,0.6,80.04
298,298,강원도,삼척,2012,0,41,0.004,0.023,0.017,0.6,80.04
299,299,강원도,삼척,2012,0,32,0.007,0.021,0.024,0.7,80.04
300,300,강원도,삼척,2013,0,51,0.007,0.022,0.02,0.8,80.49
301,301,강원도,삼척,2013,0,46,0.006,0.025,0.019,0.7,80.49
302,302,강원도,삼척,2013,0,57,0.005,0.028,0.019,0.7,80.49
303,303,강원도,삼척,2013,0,47,0.004,0.034,0.016,0.6,80.49
304,304,강원도,삼척,2013,0,47,0.003,0.042,0.014,0.5,80.49
305,305,강원도,삼척,2013,0,39,0.002,0.025,0.014,0.4,80.49
306,306,강원도,삼척,2013,0,38,0.001,0.027,0.014,0.4,80.49
307,307,강원도,삼척,2013,0,41,0.001,0.036,0.011,0.5,80.49
308,308,강원도,삼척,2013,0,33,0.002,0.025,0.013,0.6,80.49
309,309,강원도,삼척,2013,0,25,0.003,0.027,0.014,0.7,80.49
310,310,강원도,삼척,2013,0,29,0.005,0.027,0.016,1.1,80.49
311,311,강원도,삼척,2013,0,41,0.008,0.023,0.018,0.8,80.49
312,312,강원도,삼척,2014,0,50,0.008,0.023,0.018,0.8,80.95
313,313,강원도,삼척,2014,0,46,0.005,0.026,0.016,0.7,80.95
314,314,강원도,삼척,2014,0,60,0.005,0.039,0.016,0.6,80.95
315,315,강원도,삼척,2014,0,61,0.004,0.045,0.016,0.4,80.95
316,316,강원도,삼척,2014,0,68,0.004,0.049,0.014,0.3,80.95
317,317,강원도,삼척,2014,0,51,0.002,0.035,0.013,0.3,80.95
318,318,강원도,삼척,2014,0,47,0.002,0.034,0.015,0.4,80.95
319,319,강원도,삼척,2014,0,36,0.002,0.027,0.013,0.4,80.95
320,320,강원도,삼척,2014,0,28,0.002,0.026,0.013,0.5,80.95
321,321,강원도,삼척,2014,0,31,0.003,0.028,0.017,0.5,80.95
322,322,강원도,삼척,2014,0,30,0.004,0.021,0.022,0.8,80.95
323,323,강원도,삼척,2014,0,32,0.008,0.023,0.021,0.7,80.95
324,324,강원도,삼척,2015,10.45238095,36,0.007,0.023,0.022,0.8,81.36
325,325,강원도,삼척,2015,10.45238095,53,0.006,0.028,0.021,0.7,81.36
326,326,강원도,삼척,2015,10.45238095,55,0.005,0.035,0.023,0.7,81.36
327,327,강원도,삼척,2015,10.45238095,44,0.003,0.042,0.02,0.5,81.36
328,328,강원도,삼척,2015,10.45238095,52,0.003,0.048,0.02,0.4,81.36
329,329,강원도,삼척,2015,10.45238095,46,0.002,0.037,0.018,0.5,81.36
330,330,강원도,삼척,2015,10.45238095,38,0.002,0.026,0.016,0.4,81.36
331,331,강원도,삼척,2015,10.45238095,67,0.002,0.032,0.015,0.4,81.36
332,332,강원도,삼척,2015,10.45238095,20,0.002,0.017,0.013,0.4,81.36
333,333,강원도,삼척,2015,10.45238095,28,0.004,0.022,0.018,0.6,81.36
334,334,강원도,삼척,2015,10.45238095,36,0.005,0.021,0.02,0.6,81.36
335,335,강원도,삼척,2015,10.45238095,30,0.003,0.028,0.017,0.6,81.36
336,336,강원도,삼척,2016,23,35,0.006,0.026,0.02,0.7,81.78
337,337,강원도,삼척,2016,24,37,0.005,0.029,0.02,0.5,81.78
338,338,강원도,삼척,2016,31,53,0.004,0.036,0.02,0.6,81.78
339,339,강원도,삼척,2016,28,64,0.003,0.043,0.017,0.4,81.78
340,340,강원도,삼척,2016,27,55,0.002,0.048,0.016,0.4,81.78
341,341,강원도,삼척,2016,26,50,0.002,0.037,0.015,0.5,81.78
342,342,강원도,삼척,2016,18,40,0.002,0.024,0.013,0.4,81.78
343,343,강원도,삼척,2016,16,37,0.002,0.026,0.008,0.4,81.78
344,344,강원도,삼척,2016,20,41,0.002,0.024,0.01,0.4,81.78
345,345,강원도,삼척,2016,24,42,0.004,0.021,0.018,0.5,81.78
346,346,강원도,삼척,2016,22,31,0.004,0.02,0.021,0.5,81.78
347,347,강원도,삼척,2016,17.78571429,36,0.003,0.021,0.015,0.5,81.78
348,348,강원도,삼척,2017,27,35,0.004,0.019,0.019,0.5,82.23
349,349,강원도,삼척,2017,25,37,0.003,0.03,0.012,0.5,82.23
350,350,강원도,삼척,2017,32,50,0.003,0.013,0.013,0.4,82.23
351,351,강원도,삼척,2017,23,49,0.002,0.051,0.012,0.4,82.23
352,352,강원도,삼척,2017,23,57,0.003,0.051,0.015,0.4,82.23
353,353,강원도,삼척,2017,22,44,0.002,0.039,0.013,0.3,82.23
354,354,강원도,삼척,2017,20,41,0.001,0.033,0.013,0.3,82.23
355,355,강원도,삼척,2017,11,29,0.001,0.019,0.008,0.3,82.23
356,356,강원도,삼척,2017,18,30,0.003,0.039,0.017,0.3,82.23
