District,City,Year,Percentage
충청남도,청양,2016,0.0
충청남도,청양,2015,0.0
충청남도,태안,2020,0.0
충청남도,태안,2019,1.59
충청남도,태안,2018,1.57
충청남도,태안,2017,0.0
충청남도,태안,2016,1.57
충청남도,태안,2015,0.0
충청남도,홍성,2020,2.99
충청남도,홍성,2019,0.0
충청남도,홍성,2018,0.99
충청남도,홍성,2017,2.98
충청남도,홍성,2016,4.11
충청남도,홍성,2015,1.07
충청북도,괴산,2020,0.0
충청북도,괴산,2019,0.0
충청북도,괴산,2018,0.0
충청북도,괴산,2017,0.0
충청북도,괴산,2016,0.0
충청북도,괴산,2015,0.0
충청북도,단양,2020,0.0
충청북도,단양,2019,3.33
충청북도,단양,2018,3.31
충청북도,단양,2017,0.0
충청북도,단양,2016,0.0
충청북도,단양,2015,0.0
충청북도,보은,2020,3.06
충청북도,보은,2019,3.0
충청북도,보은,2018,5.91
충청북도,보은,2017,0.0
충청북도,보은,2016,0.0
충청북도,보은,2015,0.0
충청북도,영동,2020,0.0
충청북도,영동,2019,0.0
충청북도,영동,2018,4.0
충청북도,영동,2017,3.97
충청북도,영동,2016,0.0
충청북도,영동,2015,0.0
충청북도,옥천,2020,0.0
충청북도,옥천,2019,1.95
충청북도,옥천,2018,0.0
충청북도,옥천,2017,0.0
충청북도,옥천,2016,0.0
충청북도,옥천,2015,0.0
충청북도,음성,2020,1.06
충청북도,음성,2019,0.0
충청북도,음성,2018,3.11
충청북도,음성,2017,0.0
충청북도,음성,2016,0.0
충청북도,음성,2015,0.0
충청북도,제천,2020,0.0
충청북도,제천,2019,0.74
충청북도,제천,2018,0.74
충청북도,제천,2017,0.73
충청북도,제천,2016,1.47
충청북도,제천,2015,0.73
충청북도,증평,2020,0.0
충청북도,증평,2019,0.0
충청북도,증평,2018,0.0
충청북도,증평,2017,0.0
충청북도,증평,2016,0.0
충청북도,증평,2015,0.0
충청북도,진천,2020,0.0
충청북도,진천,2019,0.0
충청북도,진천,2018,1.32
충청북도,진천,2017,1.39
충청북도,진천,2016,0.0
충청북도,진천,2015,0.0
충청북도,청주,2020,0.59
충청북도,청주,2019,0.38
충청북도,청주,2018,1.23
충청북도,청주,2017,0.35
충청북도,청주,2016,0.0
충청북도,청주,2015,0.0
충청북도,충주,2020,0.95
충청북도,충주,2019,1.42
충청북도,충주,2018,1.91
충청북도,충주,2017,0.0
충청북도,충주,2016,0.0
충청북도,충주,2015,0.0
